InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536389,22941,CHRISTMAS LIGHTS 10 REINDEER,6,12/1/2010 10:03,8.5,12431.0,Australia
536389,21622,VINTAGE UNION JACK CUSHION COVER,8,12/1/2010 10:03,4.95,12431.0,Australia
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,12/1/2010 10:03,1.25,12431.0,Australia
536389,35004C,SET OF 3 COLOURED  FLYING DUCKS,6,12/1/2010 10:03,5.45,12431.0,Australia
536389,35004G,SET OF 3 GOLD FLYING DUCKS,4,12/1/2010 10:03,6.35,12431.0,Australia
536389,85014B,RED RETROSPOT UMBRELLA,6,12/1/2010 10:03,5.95,12431.0,Australia
536389,85014A,BLACK/BLUE POLKADOT UMBRELLA,3,12/1/2010 10:03,5.95,12431.0,Australia
536389,22193,RED DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 10:03,3.75,12431.0,Australia
536389,22727,ALARM CLOCK BAKELIKE RED ,4,12/1/2010 10:03,3.75,12431.0,Australia
536389,22192,BLUE DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
536389,22191,IVORY DINER WALL CLOCK,2,12/1/2010 10:03,8.5,12431.0,Australia
536389,22195,LARGE HEART MEASURING SPOONS,24,12/1/2010 10:03,1.65,12431.0,Australia
536389,22196,SMALL HEART MEASURING SPOONS,24,12/1/2010 10:03,0.85,12431.0,Australia
537676,22567,20 DOLLY PEGS RETROSPOT,24,12/8/2010 9:53,1.25,12386.0,Australia
537676,22915,ASSORTED BOTTLE TOP  MAGNETS ,120,12/8/2010 9:53,0.36,12386.0,Australia
537676,22926,IVORY GIANT GARDEN THERMOMETER,12,12/8/2010 9:53,5.95,12386.0,Australia
537676,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,24,12/8/2010 9:53,1.25,12386.0,Australia
537676,21906,PHARMACIE FIRST AID TIN,4,12/8/2010 9:53,6.75,12386.0,Australia
537676,22495,SET OF 2 ROUND TINS CAMEMBERT ,6,12/8/2010 9:53,2.95,12386.0,Australia
537676,22555,PLASTERS IN TIN STRONGMAN,12,12/8/2010 9:53,1.65,12386.0,Australia
537676,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,12/8/2010 9:53,1.65,12386.0,Australia
C538723,22333,RETROSPOT PARTY BAG + STICKER SET,-7,12/14/2010 11:12,1.65,12434.0,Australia
C538723,22094,RED RETROSPOT TISSUE BOX,-5,12/14/2010 11:12,1.25,12434.0,Australia
C538723,21217,RED RETROSPOT ROUND CAKE TINS,-1,12/14/2010 11:12,9.95,12434.0,Australia
539419,48138,DOORMAT UNION FLAG,10,12/17/2010 14:10,6.75,12431.0,Australia
539419,79067,CORONA MEXICAN TRAY,50,12/17/2010 14:10,2.95,12431.0,Australia
539419,20725,LUNCH BAG RED RETROSPOT,10,12/17/2010 14:10,1.65,12431.0,Australia
539419,85099B,JUMBO BAG RED RETROSPOT,10,12/17/2010 14:10,1.95,12431.0,Australia
539419,22728,ALARM CLOCK BAKELIKE PINK,4,12/17/2010 14:10,3.75,12431.0,Australia
539419,22196,SMALL HEART MEASURING SPOONS,24,12/17/2010 14:10,0.85,12431.0,Australia
539419,22195,LARGE HEART MEASURING SPOONS,12,12/17/2010 14:10,1.65,12431.0,Australia
539419,22219,LOVEBIRD HANGING DECORATION WHITE ,12,12/17/2010 14:10,0.85,12431.0,Australia
539419,20685,DOORMAT RED RETROSPOT,4,12/17/2010 14:10,7.95,12431.0,Australia
539419,48138,DOORMAT UNION FLAG,10,12/17/2010 14:10,6.75,12431.0,Australia
540267,22078,RIBBON REEL LACE DESIGN ,120,1/6/2011 11:12,1.85,12415.0,Australia
540267,22079,RIBBON REEL HEARTS DESIGN ,120,1/6/2011 11:12,1.45,12415.0,Australia
540267,22080,RIBBON REEL POLKADOTS ,120,1/6/2011 11:12,1.45,12415.0,Australia
540267,22077,6 RIBBONS RUSTIC CHARM,144,1/6/2011 11:12,1.45,12415.0,Australia
540267,22505,MEMO BOARD COTTAGE DESIGN,24,1/6/2011 11:12,4.25,12415.0,Australia
540267,22516,CHILDS GARDEN RAKE BLUE,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22517,CHILDS GARDEN RAKE PINK,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22518,CHILDS GARDEN BRUSH BLUE,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22519,CHILDS GARDEN BRUSH PINK,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22514,CHILDS GARDEN SPADE BLUE,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22515,CHILDS GARDEN SPADE PINK,36,1/6/2011 11:12,1.85,12415.0,Australia
540267,22522,CHILDS GARDEN FORK BLUE ,192,1/6/2011 11:12,0.72,12415.0,Australia
540267,22524,CHILDRENS GARDEN GLOVES BLUE,100,1/6/2011 11:12,1.06,12415.0,Australia
540267,22525,CHILDRENS GARDEN GLOVES PINK,100,1/6/2011 11:12,1.06,12415.0,Australia
540267,22933,BAKING MOULD EASTER EGG MILK CHOC,6,1/6/2011 11:12,2.95,12415.0,Australia
540267,22934,BAKING MOULD EASTER EGG WHITE CHOC,48,1/6/2011 11:12,2.55,12415.0,Australia
540267,84218,BOX/12 CHICK & EGG IN BASKET,60,1/6/2011 11:12,1.69,12415.0,Australia
540267,84228,HEN HOUSE W CHICK STANDING,120,1/6/2011 11:12,0.37,12415.0,Australia
540267,22148,EASTER CRAFT 4 CHICKS ,40,1/6/2011 11:12,1.65,12415.0,Australia
540267,22857,ASSORTED EASTER GIFT TAGS,144,1/6/2011 11:12,0.72,12415.0,Australia
540267,22858,EASTER TIN KEEPSAKE,48,1/6/2011 11:12,1.65,12415.0,Australia
540267,22859,EASTER TIN BUNNY BOUQUET,48,1/6/2011 11:12,1.65,12415.0,Australia
