InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C538971,22153,ANGEL DECORATION STARS ON DRESS,-48,12/15/2010 11:39,0.42,12865.0,Austria
539330,37449,CERAMIC CAKE STAND + HANGING CAKES,8,12/17/2010 9:38,8.5,12370.0,Austria
539330,37446,MINI CAKE STAND WITH HANGING CAKES,8,12/17/2010 9:38,1.45,12370.0,Austria
539330,22962,JAM JAR WITH PINK LID,12,12/17/2010 9:38,0.85,12370.0,Austria
539330,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,12/17/2010 9:38,4.25,12370.0,Austria
539330,22113,GREY HEART HOT WATER BOTTLE,4,12/17/2010 9:38,3.75,12370.0,Austria
539330,22313,OFFICE MUG WARMER PINK,6,12/17/2010 9:38,2.95,12370.0,Austria
539330,22312,OFFICE MUG WARMER POLKADOT,6,12/17/2010 9:38,2.95,12370.0,Austria
539330,POST,POSTAGE,3,12/17/2010 9:38,40.0,12370.0,Austria
542887,20713,JUMBO BAG OWLS,10,2/1/2011 13:10,1.95,12373.0,Austria
542887,21931,JUMBO STORAGE BAG SUKI,20,2/1/2011 13:10,1.95,12373.0,Austria
542887,22553,PLASTERS IN TIN SKULLS,12,2/1/2011 13:10,1.65,12373.0,Austria
542887,20724,RED RETROSPOT CHARLOTTE BAG,30,2/1/2011 13:10,0.85,12373.0,Austria
542887,20719,WOODLAND CHARLOTTE BAG,20,2/1/2011 13:10,0.85,12373.0,Austria
542887,20726,LUNCH BAG WOODLAND,20,2/1/2011 13:10,1.65,12373.0,Austria
542887,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2/1/2011 13:10,2.95,12373.0,Austria
542887,20712,JUMBO BAG WOODLAND ANIMALS,20,2/1/2011 13:10,1.95,12373.0,Austria
542887,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2/1/2011 13:10,2.95,12373.0,Austria
542887,21481,FAWN BLUE HOT WATER BOTTLE,6,2/1/2011 13:10,2.95,12373.0,Austria
542887,85099B,JUMBO BAG RED RETROSPOT,10,2/1/2011 13:10,1.95,12373.0,Austria
542887,22356,CHARLOTTE BAG PINK POLKADOT,10,2/1/2011 13:10,0.85,12373.0,Austria
542887,20728,LUNCH BAG CARS BLUE,20,2/1/2011 13:10,1.65,12373.0,Austria
