InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539500,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,54,12/20/2010 11:02,3.81,,Bahrain
C540155,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,-54,1/5/2011 11:31,3.81,,Bahrain
552449,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,24,5/9/2011 13:49,1.25,12355.0,Bahrain
552449,23076,ICE CREAM SUNDAE LIP GLOSS,96,5/9/2011 13:49,1.25,12355.0,Bahrain
552449,23077,DOUGHNUT LIP GLOSS ,60,5/9/2011 13:49,1.25,12355.0,Bahrain
552449,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,5/9/2011 13:49,9.95,12355.0,Bahrain
552449,22649,STRAWBERRY FAIRY CAKE TEAPOT,8,5/9/2011 13:49,4.95,12355.0,Bahrain
552449,22423,REGENCY CAKESTAND 3 TIER,2,5/9/2011 13:49,12.75,12355.0,Bahrain
552449,85040A,S/4 PINK FLOWER CANDLES IN BOWL,12,5/9/2011 13:49,1.65,12355.0,Bahrain
552449,22699,ROSES REGENCY TEACUP AND SAUCER ,6,5/9/2011 13:49,2.95,12355.0,Bahrain
552449,22697,GREEN REGENCY TEACUP AND SAUCER,6,5/9/2011 13:49,2.95,12355.0,Bahrain
552449,22698,PINK REGENCY TEACUP AND SAUCER,6,5/9/2011 13:49,2.95,12355.0,Bahrain
552449,72802A,ROSE SCENT CANDLE IN JEWELLED BOX,6,5/9/2011 13:49,4.25,12355.0,Bahrain
552449,72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,6,5/9/2011 13:49,4.25,12355.0,Bahrain
552449,72802C,VANILLA SCENT CANDLE JEWELLED BOX,6,5/9/2011 13:49,4.25,12355.0,Bahrain
553900,37449,CERAMIC CAKE STAND + HANGING CAKES,2,5/19/2011 17:47,9.95,12353.0,Bahrain
553900,37446,MINI CAKE STAND WITH HANGING CAKES,8,5/19/2011 17:47,1.45,12353.0,Bahrain
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,5/19/2011 17:47,9.95,12353.0,Bahrain
553900,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,5/19/2011 17:47,2.95,12353.0,Bahrain
