InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538002,22690,DOORMAT HOME SWEET HOME BLUE ,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,21955,DOORMAT UNION JACK GUNS AND ROSES,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,20685,DOORMAT RED RETROSPOT,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,21169,YOU'RE CONFUSING ME METAL SIGN ,12,12/9/2010 11:48,1.69,14932.0,Channel Islands
538002,22112,CHOCOLATE HOT WATER BOTTLE,3,12/9/2010 11:48,4.95,14932.0,Channel Islands
538002,21485,RETROSPOT HEART HOT WATER BOTTLE,3,12/9/2010 11:48,4.95,14932.0,Channel Islands
538002,21587,COSY HOUR GIANT TUBE MATCHES,12,12/9/2010 11:48,2.55,14932.0,Channel Islands
538002,21591,COSY HOUR CIGAR BOX MATCHES ,24,12/9/2010 11:48,1.25,14932.0,Channel Islands
538002,21627,ELEPHANT CARNIVAL POUFFE,2,12/9/2010 11:48,14.95,14932.0,Channel Islands
538002,21628,TRIANGULAR POUFFE VINTAGE ,2,12/9/2010 11:48,14.95,14932.0,Channel Islands
538002,21630,FLOOR CUSHION ELEPHANT CARNIVAL,2,12/9/2010 11:48,8.95,14932.0,Channel Islands
538002,22510,GINGHAM BABUSHKA DOORSTOP,4,12/9/2010 11:48,3.75,14932.0,Channel Islands
538002,21116,OWL DOORSTOP,3,12/9/2010 11:48,4.95,14932.0,Channel Islands
538002,22688,DOORMAT PEACE ON EARTH BLUE,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,48138,DOORMAT UNION FLAG,2,12/9/2010 11:48,7.95,14932.0,Channel Islands
538002,C2,CARRIAGE,1,12/9/2010 11:48,50.0,14932.0,Channel Islands
542269,22470,HEART OF WICKER LARGE,6,1/27/2011 9:33,2.95,14442.0,Channel Islands
542269,22783,SET 3 WICKER OVAL BASKETS W LIDS,2,1/27/2011 9:33,19.95,14442.0,Channel Islands
542269,22782,SET 3 WICKER STORAGE BASKETS ,2,1/27/2011 9:33,24.95,14442.0,Channel Islands
542269,22776,SWEETHEART CAKESTAND 3 TIER,1,1/27/2011 9:33,9.95,14442.0,Channel Islands
542269,22795,SWEETHEART RECIPE BOOK STAND,2,1/27/2011 9:33,6.75,14442.0,Channel Islands
542269,22829,SWEETHEART WIRE WALL TIDY,4,1/27/2011 9:33,9.95,14442.0,Channel Islands
542269,22766,PHOTO FRAME CORNICE,8,1/27/2011 9:33,2.95,14442.0,Channel Islands
542269,22469,HEART OF WICKER SMALL,12,1/27/2011 9:33,1.65,14442.0,Channel Islands
542269,21735,TWO DOOR CURIO CABINET,4,1/27/2011 9:33,12.75,14442.0,Channel Islands
542269,20749,ASSORTED COLOUR MINI CASES,2,1/27/2011 9:33,7.95,14442.0,Channel Islands
542269,22439,6 ROCKET BALLOONS ,24,1/27/2011 9:33,0.65,14442.0,Channel Islands
542269,22904,CALENDAR PAPER CUT DESIGN,6,1/27/2011 9:33,2.95,14442.0,Channel Islands
542269,22968,ROSE COTTAGE KEEPSAKE BOX ,2,1/27/2011 9:33,9.95,14442.0,Channel Islands
542269,22180,RETROSPOT LAMP,4,1/27/2011 9:33,9.95,14442.0,Channel Islands
542269,22507,MEMO BOARD RETROSPOT  DESIGN,8,1/27/2011 9:33,4.95,14442.0,Channel Islands
542269,20750,RED RETROSPOT MINI CASES,2,1/27/2011 9:33,7.95,14442.0,Channel Islands
542269,22624,IVORY KITCHEN SCALES,2,1/27/2011 9:33,8.5,14442.0,Channel Islands
542269,22626,BLACK KITCHEN SCALES,2,1/27/2011 9:33,8.5,14442.0,Channel Islands
542269,22667,RECIPE BOX RETROSPOT ,6,1/27/2011 9:33,2.95,14442.0,Channel Islands
542269,85150,LADIES & GENTLEMEN METAL SIGN,6,1/27/2011 9:33,2.55,14442.0,Channel Islands
542269,82599,FANNY'S REST STOPMETAL SIGN,12,1/27/2011 9:33,2.1,14442.0,Channel Islands
542269,21917,SET 12 KIDS  WHITE CHALK STICKS,24,1/27/2011 9:33,0.42,14442.0,Channel Islands
542269,22436,12 COLOURED PARTY BALLOONS,20,1/27/2011 9:33,0.65,14442.0,Channel Islands
542269,21500,PINK POLKADOT WRAP ,25,1/27/2011 9:33,0.42,14442.0,Channel Islands
542269,21498,RED RETROSPOT WRAP ,25,1/27/2011 9:33,0.42,14442.0,Channel Islands
542269,16161P,WRAP ENGLISH ROSE ,25,1/27/2011 9:33,0.42,14442.0,Channel Islands
542269,20828,GLITTER BUTTERFLY CLIPS,6,1/27/2011 9:33,2.55,14442.0,Channel Islands
542269,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,9,1/27/2011 9:33,2.55,14442.0,Channel Islands
542269,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,4,1/27/2011 9:33,6.75,14442.0,Channel Islands
542269,22169,FAMILY ALBUM WHITE PICTURE FRAME,4,1/27/2011 9:33,8.5,14442.0,Channel Islands
C542734,22169,FAMILY ALBUM WHITE PICTURE FRAME,-2,1/31/2011 15:36,8.5,14442.0,Channel Islands
C542734,22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,-2,1/31/2011 15:36,6.75,14442.0,Channel Islands
544073,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,48,2/15/2011 14:44,3.39,14935.0,Channel Islands
544073,22751,FELTCRAFT PRINCESS OLIVIA DOLL,48,2/15/2011 14:44,3.39,14935.0,Channel Islands
544073,22750,FELTCRAFT PRINCESS LOLA DOLL,48,2/15/2011 14:44,3.39,14935.0,Channel Islands
544073,22748,POPPY'S PLAYHOUSE KITCHEN,60,2/15/2011 14:44,1.85,14935.0,Channel Islands
544073,22747,POPPY'S PLAYHOUSE BATHROOM,60,2/15/2011 14:44,1.85,14935.0,Channel Islands
544073,22745,POPPY'S PLAYHOUSE BEDROOM ,60,2/15/2011 14:44,1.85,14935.0,Channel Islands
544073,22746,POPPY'S PLAYHOUSE LIVINGROOM ,60,2/15/2011 14:44,1.85,14935.0,Channel Islands
544073,22960,JAM MAKING SET WITH JARS,48,2/15/2011 14:44,3.75,14935.0,Channel Islands
544073,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,96,2/15/2011 14:44,4.25,14935.0,Channel Islands
544073,21785,RAIN PONCHO ,407,2/15/2011 14:44,0.65,14935.0,Channel Islands
545399,22740,POLKADOT PEN,48,3/2/2011 11:48,0.85,14934.0,Channel Islands
545399,22174,PHOTO CUBE,12,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,22692,DOORMAT WELCOME TO OUR HOME,2,3/2/2011 11:48,7.95,14934.0,Channel Islands
545399,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,3/2/2011 11:48,7.95,14934.0,Channel Islands
545399,22365,DOORMAT RESPECTABLE HOUSE,2,3/2/2011 11:48,7.95,14934.0,Channel Islands
545399,22228,BUNNY WOODEN PAINTED WITH BIRD ,12,3/2/2011 11:48,0.85,14934.0,Channel Islands
545399,22861,EASTER TIN CHICKS IN GARDEN,6,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,22859,EASTER TIN BUNNY BOUQUET,6,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,22858,EASTER TIN KEEPSAKE,6,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,12,3/2/2011 11:48,2.95,14934.0,Channel Islands
545399,84692,BOX OF 24 COCKTAIL PARASOLS,25,3/2/2011 11:48,0.42,14934.0,Channel Islands
545399,84050,PINK HEART SHAPE EGG FRYING PAN,6,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,22423,REGENCY CAKESTAND 3 TIER,4,3/2/2011 11:48,12.75,14934.0,Channel Islands
545399,21754,HOME BUILDING BLOCK WORD,6,3/2/2011 11:48,5.95,14934.0,Channel Islands
545399,22485,SET OF 2 WOODEN MARKET CRATES,2,3/2/2011 11:48,12.75,14934.0,Channel Islands
545399,22079,RIBBON REEL HEARTS DESIGN ,10,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,85049E,SCANDINAVIAN REDS RIBBONS,12,3/2/2011 11:48,1.25,14934.0,Channel Islands
545399,22077,6 RIBBONS RUSTIC CHARM,12,3/2/2011 11:48,1.65,14934.0,Channel Islands
545399,21755,LOVE BUILDING BLOCK WORD,3,3/2/2011 11:48,5.95,14934.0,Channel Islands
545399,21314,SMALL GLASS HEART TRINKET POT,8,3/2/2011 11:48,2.1,14934.0,Channel Islands
545399,22727,ALARM CLOCK BAKELIKE RED ,4,3/2/2011 11:48,3.75,14934.0,Channel Islands
545399,21877,HOME SWEET HOME MUG,12,3/2/2011 11:48,1.25,14934.0,Channel Islands
545399,21870,I CAN ONLY PLEASE ONE PERSON MUG,12,3/2/2011 11:48,1.25,14934.0,Channel Islands
545399,21181,PLEASE ONE PERSON METAL SIGN,36,3/2/2011 11:48,2.1,14934.0,Channel Islands
545399,82600,NO SINGING METAL SIGN,12,3/2/2011 11:48,2.1,14934.0,Channel Islands
545399,21908,CHOCOLATE THIS WAY METAL SIGN,12,3/2/2011 11:48,2.1,14934.0,Channel Islands
545399,85150,LADIES & GENTLEMEN METAL SIGN,6,3/2/2011 11:48,2.55,14934.0,Channel Islands
545399,21166,COOK WITH WINE METAL SIGN ,12,3/2/2011 11:48,2.08,14934.0,Channel Islands
545399,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,3/2/2011 11:48,3.25,14934.0,Channel Islands
545399,22509,SEWING BOX RETROSPOT DESIGN ,1,3/2/2011 11:48,16.95,14934.0,Channel Islands
545399,22667,RECIPE BOX RETROSPOT ,6,3/2/2011 11:48,2.95,14934.0,Channel Islands
545399,21212,PACK OF 72 RETROSPOT CAKE CASES,24,3/2/2011 11:48,0.55,14934.0,Channel Islands
545399,21843,RED RETROSPOT CAKE STAND,4,3/2/2011 11:48,10.95,14934.0,Channel Islands
545399,22321,BIRD DECORATION RED RETROSPOT,12,3/2/2011 11:48,0.85,14934.0,Channel Islands
545399,21916,SET 12 RETRO WHITE CHALK STICKS,24,3/2/2011 11:48,0.42,14934.0,Channel Islands
545399,22197,SMALL POPCORN HOLDER,12,3/2/2011 11:48,0.85,14934.0,Channel Islands
