InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
551013,22839,3 TIER CAKE TIN GREEN AND CREAM,1,4/26/2011 10:54,14.95,15108.0,European Community
551013,22840,ROUND CAKE TIN VINTAGE RED,2,4/26/2011 10:54,7.95,15108.0,European Community
551013,22841,ROUND CAKE TIN VINTAGE GREEN,2,4/26/2011 10:54,7.95,15108.0,European Community
551013,22457,NATURAL SLATE HEART CHALKBOARD ,6,4/26/2011 10:54,2.95,15108.0,European Community
551013,22314,OFFICE MUG WARMER CHOC+BLUE,6,4/26/2011 10:54,2.95,15108.0,European Community
551013,22312,OFFICE MUG WARMER POLKADOT,6,4/26/2011 10:54,2.95,15108.0,European Community
551013,22842,BISCUIT TIN VINTAGE RED,2,4/26/2011 10:54,6.75,15108.0,European Community
551013,22843,BISCUIT TIN VINTAGE GREEN,2,4/26/2011 10:54,6.75,15108.0,European Community
551013,22424,ENAMEL BREAD BIN CREAM,1,4/26/2011 10:54,12.75,15108.0,European Community
551013,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,4/26/2011 10:54,3.95,15108.0,European Community
551013,POST,POSTAGE,2,4/26/2011 10:54,18.0,15108.0,European Community
555542,21675,BUTTERFLIES STICKERS,12,6/5/2011 12:51,0.85,15108.0,European Community
555542,21676,FLOWERS  STICKERS,12,6/5/2011 12:51,0.85,15108.0,European Community
555542,21677,HEARTS  STICKERS,12,6/5/2011 12:51,0.85,15108.0,European Community
555542,22314,OFFICE MUG WARMER CHOC+BLUE,12,6/5/2011 12:51,2.95,15108.0,European Community
555542,22312,OFFICE MUG WARMER POLKADOT,6,6/5/2011 12:51,2.95,15108.0,European Community
555542,22838,3 TIER CAKE TIN RED AND CREAM,2,6/5/2011 12:51,14.95,15108.0,European Community
555542,22840,ROUND CAKE TIN VINTAGE RED,2,6/5/2011 12:51,7.95,15108.0,European Community
555542,22841,ROUND CAKE TIN VINTAGE GREEN,2,6/5/2011 12:51,7.95,15108.0,European Community
555542,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,6/5/2011 12:51,4.95,15108.0,European Community
555542,22193,RED DINER WALL CLOCK,2,6/5/2011 12:51,8.5,15108.0,European Community
555542,22961,JAM MAKING SET PRINTED,12,6/5/2011 12:51,1.45,15108.0,European Community
555542,22452,MEASURING TAPE BABUSHKA PINK,6,6/5/2011 12:51,2.95,15108.0,European Community
555542,22453,MEASURING TAPE BABUSHKA BLUE,6,6/5/2011 12:51,2.95,15108.0,European Community
555542,23111,PARISIENNE SEWING BOX,2,6/5/2011 12:51,12.5,15108.0,European Community
555542,22311,OFFICE MUG WARMER BLACK+SILVER ,6,6/5/2011 12:51,2.95,15108.0,European Community
555542,22842,BISCUIT TIN VINTAGE RED,6,6/5/2011 12:51,6.75,15108.0,European Community
555542,22843,BISCUIT TIN VINTAGE GREEN,6,6/5/2011 12:51,6.75,15108.0,European Community
555542,22319,HAIRCLIPS FORTIES FABRIC ASSORTED,12,6/5/2011 12:51,0.65,15108.0,European Community
555542,22960,JAM MAKING SET WITH JARS,6,6/5/2011 12:51,4.25,15108.0,European Community
555721,POST,POSTAGE,3,6/6/2011 16:01,15.0,15108.0,European Community
C556294,22960,JAM MAKING SET WITH JARS,-2,6/10/2011 9:34,4.25,15108.0,European Community
560783,22446,PIN CUSHION BABUSHKA PINK,6,7/21/2011 10:24,3.35,15108.0,European Community
560783,22447,PIN CUSHION BABUSHKA BLUE,6,7/21/2011 10:24,3.35,15108.0,European Community
560783,22448,PIN CUSHION BABUSHKA RED,6,7/21/2011 10:24,3.35,15108.0,European Community
560783,22452,MEASURING TAPE BABUSHKA PINK,6,7/21/2011 10:24,2.95,15108.0,European Community
560783,22453,MEASURING TAPE BABUSHKA BLUE,6,7/21/2011 10:24,2.95,15108.0,European Community
560783,22904,CALENDAR PAPER CUT DESIGN,6,7/21/2011 10:24,2.95,15108.0,European Community
560783,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,7/21/2011 10:24,4.95,15108.0,European Community
560783,85132C,CHARLIE AND LOLA FIGURES TINS,12,7/21/2011 10:24,1.95,15108.0,European Community
560783,22449,SILK PURSE BABUSHKA PINK,6,7/21/2011 10:24,3.35,15108.0,European Community
560783,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,7/21/2011 10:24,4.95,15108.0,European Community
560783,23239,SET OF 4 KNICK KNACK TINS POPPIES,6,7/21/2011 10:24,4.15,15108.0,European Community
560783,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,7/21/2011 10:24,0.55,15108.0,European Community
560783,23308,SET OF 60 VINTAGE LEAF CAKE CASES ,24,7/21/2011 10:24,0.55,15108.0,European Community
560783,23020,GLASS  SONGBIRD STORAGE JAR,1,7/21/2011 10:24,12.5,15108.0,European Community
560783,22571,ROCKING HORSE RED CHRISTMAS ,24,7/21/2011 10:24,0.85,15108.0,European Community
560783,22572,ROCKING HORSE GREEN CHRISTMAS ,24,7/21/2011 10:24,0.85,15108.0,European Community
560783,23210,WHITE ROCKING HORSE HAND PAINTED,24,7/21/2011 10:24,1.25,15108.0,European Community
560783,23211,RED ROCKING HORSE HAND PAINTED,24,7/21/2011 10:24,1.25,15108.0,European Community
560783,23212,HEART WREATH DECORATION WITH BELL,12,7/21/2011 10:24,1.25,15108.0,European Community
560783,23268,SET OF 2 CERAMIC CHRISTMAS REINDEER,12,7/21/2011 10:24,1.45,15108.0,European Community
560783,23270,SET OF 2 CERAMIC PAINTED HEARTS ,12,7/21/2011 10:24,1.45,15108.0,European Community
560783,23213,STAR WREATH DECORATION WITH BELL,12,7/21/2011 10:24,1.25,15108.0,European Community
560783,23264,SET OF 3 WOODEN SLEIGH DECORATIONS,12,7/21/2011 10:24,1.25,15108.0,European Community
560783,23265,SET OF 3 WOODEN TREE DECORATIONS,12,7/21/2011 10:24,1.25,15108.0,European Community
560783,21098,CHRISTMAS TOILET ROLL,12,7/21/2011 10:24,1.25,15108.0,European Community
560783,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,12,7/21/2011 10:24,4.25,15108.0,European Community
560783,85036B,CHOCOLATE 1 WICK MORRIS BOX CANDLE,12,7/21/2011 10:24,4.25,15108.0,European Community
560783,85035C,ROSE 3 WICK MORRIS BOX CANDLE,8,7/21/2011 10:24,4.25,15108.0,European Community
560783,POST,POSTAGE,4,7/21/2011 10:24,15.0,15108.0,European Community
