InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541932,22699,ROSES REGENCY TEACUP AND SAUCER ,24,1/24/2011 11:39,2.55,14439.0,Greece
541932,22697,GREEN REGENCY TEACUP AND SAUCER,24,1/24/2011 11:39,2.55,14439.0,Greece
541932,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,24,1/24/2011 11:39,2.95,14439.0,Greece
541932,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,24,1/24/2011 11:39,4.25,14439.0,Greece
541932,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,16,1/24/2011 11:39,8.49,14439.0,Greece
541932,22763,KEY CABINET MA CAMPAGNE,12,1/24/2011 11:39,8.5,14439.0,Greece
541932,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,8,1/24/2011 11:39,12.75,14439.0,Greece
541932,22173,METAL 4 HOOK HANGER FRENCH CHATEAU,16,1/24/2011 11:39,2.95,14439.0,Greece
541932,22760,"TRAY, BREAKFAST IN BED",6,1/24/2011 11:39,10.95,14439.0,Greece
541932,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,1/24/2011 11:39,7.95,14439.0,Greece
541932,22502,PICNIC BASKET WICKER SMALL,16,1/24/2011 11:39,4.95,14439.0,Greece
541932,22469,HEART OF WICKER SMALL,12,1/24/2011 11:39,1.65,14439.0,Greece
541932,22840,ROUND CAKE TIN VINTAGE RED,12,1/24/2011 11:39,6.95,14439.0,Greece
541932,22847,BREAD BIN DINER STYLE IVORY,8,1/24/2011 11:39,14.95,14439.0,Greece
541932,22424,ENAMEL BREAD BIN CREAM,8,1/24/2011 11:39,10.95,14439.0,Greece
541932,22842,BISCUIT TIN VINTAGE RED,12,1/24/2011 11:39,5.95,14439.0,Greece
541932,22841,ROUND CAKE TIN VINTAGE GREEN,12,1/24/2011 11:39,6.95,14439.0,Greece
541932,48188,DOORMAT WELCOME PUPPIES,20,1/24/2011 11:39,6.75,14439.0,Greece
541932,22692,DOORMAT WELCOME TO OUR HOME,20,1/24/2011 11:39,6.75,14439.0,Greece
541932,48184,DOORMAT ENGLISH ROSE ,20,1/24/2011 11:39,6.75,14439.0,Greece
541932,48187,DOORMAT NEW ENGLAND,20,1/24/2011 11:39,6.75,14439.0,Greece
541932,48129,DOORMAT TOPIARY,20,1/24/2011 11:39,6.75,14439.0,Greece
541932,48111,DOORMAT 3 SMILEY CATS,10,1/24/2011 11:39,6.75,14439.0,Greece
541932,48194,DOORMAT HEARTS,10,1/24/2011 11:39,6.75,14439.0,Greece
541932,22366,DOORMAT AIRMAIL ,10,1/24/2011 11:39,6.75,14439.0,Greece
541932,21524,DOORMAT SPOTTY HOME SWEET HOME,10,1/24/2011 11:39,6.75,14439.0,Greece
541932,21616,4 PEAR BOTANICAL DINNER CANDLES,48,1/24/2011 11:39,1.25,14439.0,Greece
541932,21615,4 LAVENDER BOTANICAL DINNER CANDLES,48,1/24/2011 11:39,1.25,14439.0,Greece
541932,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,1/24/2011 11:39,8.5,14439.0,Greece
541932,22845,VINTAGE CREAM CAT FOOD CONTAINER,2,1/24/2011 11:39,6.35,14439.0,Greece
541932,22604,SET OF 4 NAPKIN CHARMS CUTLERY,32,1/24/2011 11:39,2.1,14439.0,Greece
541932,22423,REGENCY CAKESTAND 3 TIER,16,1/24/2011 11:39,10.95,14439.0,Greece
545579,85187,S/12 MINI RABBIT EASTER,6,3/4/2011 8:10,1.65,17508.0,Greece
545579,22270,HAPPY EASTER HANGING DECORATION,4,3/4/2011 8:10,3.75,17508.0,Greece
545579,85211,S/4 GROOVY CAT MAGNETS,12,3/4/2011 8:10,1.65,17508.0,Greece
545579,22908,PACK OF 20 NAPKINS RED APPLES,12,3/4/2011 8:10,0.85,17508.0,Greece
545579,21936,RED RETROSPOT PICNIC BAG,5,3/4/2011 8:10,2.95,17508.0,Greece
545579,21932,SCANDINAVIAN PAISLEY PICNIC BAG,5,3/4/2011 8:10,2.95,17508.0,Greece
545579,20717,STRAWBERRY SHOPPER BAG,10,3/4/2011 8:10,1.25,17508.0,Greece
545579,21937,STRAWBERRY   PICNIC BAG,15,3/4/2011 8:10,2.95,17508.0,Greece
545579,21078,SET/20 STRAWBERRY PAPER NAPKINS ,24,3/4/2011 8:10,0.85,17508.0,Greece
545579,20723,STRAWBERRY CHARLOTTE BAG,10,3/4/2011 8:10,0.85,17508.0,Greece
545579,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,3/4/2011 8:10,1.95,17508.0,Greece
545579,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,3/4/2011 8:10,1.95,17508.0,Greece
545579,85099F,JUMBO BAG STRAWBERRY,10,3/4/2011 8:10,1.95,17508.0,Greece
545579,35915B,BLUE KNITTED HEN ,6,3/4/2011 8:10,1.65,17508.0,Greece
545579,35915C,PEACH KNITTED HEN ,6,3/4/2011 8:10,1.65,17508.0,Greece
545579,22293,HANGING CHICK GREEN DECORATION,24,3/4/2011 8:10,1.45,17508.0,Greece
545579,35912B,WHITE/PINK CHICK DECORATION,12,3/4/2011 8:10,1.25,17508.0,Greece
545579,22268,EASTER DECORATION SITTING BUNNY,12,3/4/2011 8:10,0.85,17508.0,Greece
545579,22289,HANGING METAL CHICKEN DECORATION,24,3/4/2011 8:10,1.25,17508.0,Greece
545579,22288,HANGING METAL RABBIT DECORATION,24,3/4/2011 8:10,1.25,17508.0,Greece
545579,22266,EASTER DECORATION HANGING BUNNY,24,3/4/2011 8:10,0.65,17508.0,Greece
545579,15034,PAPER POCKET TRAVELING FAN ,24,3/4/2011 8:10,0.14,17508.0,Greece
549325,23156,SET OF 5 MINI GROCERY MAGNETS,12,4/8/2011 10:32,2.08,12717.0,Greece
549325,23154,SET OF 4 JAM JAR MAGNETS,12,4/8/2011 10:32,2.08,12717.0,Greece
549325,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,4/8/2011 10:32,0.83,12717.0,Greece
549325,23159,SET OF 5 PANCAKE DAY MAGNETS,12,4/8/2011 10:32,2.08,12717.0,Greece
549325,22969,HOMEMADE JAM SCENTED CANDLES,12,4/8/2011 10:32,1.45,12717.0,Greece
549325,22803,IVORY EMBROIDERED QUILT ,1,4/8/2011 10:32,39.95,12717.0,Greece
549325,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,4/8/2011 10:32,8.5,12717.0,Greece
549325,22766,PHOTO FRAME CORNICE,8,4/8/2011 10:32,2.95,12717.0,Greece
549325,22317,FIVE CATS HANGING DECORATION,6,4/8/2011 10:32,2.95,12717.0,Greece
549325,21391,FRENCH LAVENDER SCENT HEART,6,4/8/2011 10:32,2.1,12717.0,Greece
549325,21114,LAVENDER SCENTED FABRIC HEART,10,4/8/2011 10:32,1.25,12717.0,Greece
549325,22730,ALARM CLOCK BAKELIKE IVORY,4,4/8/2011 10:32,3.75,12717.0,Greece
549325,22727,ALARM CLOCK BAKELIKE RED ,4,4/8/2011 10:32,3.75,12717.0,Greece
549325,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,4/8/2011 10:32,0.85,12717.0,Greece
549325,22922,FRIDGE MAGNETS US DINER ASSORTED,12,4/8/2011 10:32,0.85,12717.0,Greece
549325,21107,CREAM SLICE FLANNEL PINK SPOT ,6,4/8/2011 10:32,2.95,12717.0,Greece
549325,84836,ZINC METAL HEART DECORATION,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,22831,WHITE BROCANTE SOAP DISH,6,4/8/2011 10:32,2.95,12717.0,Greece
549325,21110,LARGE CAKE TOWEL PINK SPOTS,2,4/8/2011 10:32,6.75,12717.0,Greece
549325,22410,MONEY BOX HOUSEKEEPING DESIGN,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,22409,MONEY BOX BISCUITS DESIGN,12,4/8/2011 10:32,1.25,12717.0,Greece
549325,85053,FRENCH ENAMEL CANDLEHOLDER,6,4/8/2011 10:32,2.1,12717.0,Greece
549325,22427,ENAMEL FLOWER JUG CREAM,3,4/8/2011 10:32,5.95,12717.0,Greece
549325,22644,CERAMIC CHERRY CAKE MONEY BANK,12,4/8/2011 10:32,1.45,12717.0,Greece
549325,22497,SET OF 2 TINS VINTAGE BATHROOM ,4,4/8/2011 10:32,4.25,12717.0,Greece
549325,POST,POSTAGE,2,4/8/2011 10:32,50.0,12717.0,Greece
559680,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,7/11/2011 14:47,0.42,12717.0,Greece
559680,22961,JAM MAKING SET PRINTED,12,7/11/2011 14:47,1.45,12717.0,Greece
559680,22922,FRIDGE MAGNETS US DINER ASSORTED,12,7/11/2011 14:47,0.85,12717.0,Greece
559680,23154,SET OF 4 JAM JAR MAGNETS,12,7/11/2011 14:47,2.08,12717.0,Greece
559680,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,7/11/2011 14:47,0.85,12717.0,Greece
559680,23159,SET OF 5 PANCAKE DAY MAGNETS,12,7/11/2011 14:47,2.08,12717.0,Greece
559680,85215,ASSORTED CHEESE FRIDGE MAGNETS,12,7/11/2011 14:47,0.65,12717.0,Greece
559680,23155,KNICKERBOCKERGLORY MAGNET ASSORTED ,12,7/11/2011 14:47,0.83,12717.0,Greece
559680,23160,REGENCY TEA SPOON,12,7/11/2011 14:47,1.25,12717.0,Greece
559680,23161,REGENCY CAKE FORK,12,7/11/2011 14:47,1.25,12717.0,Greece
559680,23164,REGENCY CAKE SLICE,4,7/11/2011 14:47,4.95,12717.0,Greece
559680,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4,7/11/2011 14:47,4.95,12717.0,Greece
559680,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,6,7/11/2011 14:47,2.1,12717.0,Greece
559680,23110,PARISIENNE KEY CABINET ,2,7/11/2011 14:47,5.75,12717.0,Greece
559680,22928,YELLOW GIANT GARDEN THERMOMETER,2,7/11/2011 14:47,5.95,12717.0,Greece
559680,23061,VINTAGE EMBOSSED HEART,12,7/11/2011 14:47,1.25,12717.0,Greece
559680,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,7/11/2011 14:47,0.83,12717.0,Greece
559680,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,7/11/2011 14:47,0.85,12717.0,Greece
559680,84929,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,24,7/11/2011 14:47,0.19,12717.0,Greece
559680,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,7/11/2011 14:47,1.95,12717.0,Greece
559680,23029,DRAWER KNOB CRACKLE GLAZE GREEN,6,7/11/2011 14:47,1.65,12717.0,Greece
559680,23028,DRAWER KNOB CRACKLE GLAZE BLUE,6,7/11/2011 14:47,1.65,12717.0,Greece
559680,23263,SET OF 3 WOODEN HEART DECORATIONS,24,7/11/2011 14:47,1.25,12717.0,Greece
559680,POST,POSTAGE,2,7/11/2011 14:47,50.0,12717.0,Greece
C559681,POST,POSTAGE,-1,7/11/2011 14:51,50.0,12717.0,Greece
580752,POST,POSTAGE,3,12/6/2011 9:56,45.0,12478.0,Greece
580752,20685,DOORMAT RED RETROSPOT,2,12/6/2011 9:56,8.25,12478.0,Greece
580752,22941,CHRISTMAS LIGHTS 10 REINDEER,4,12/6/2011 9:56,8.5,12478.0,Greece
580752,22816,CARD MOTORBIKE SANTA,12,12/6/2011 9:56,0.42,12478.0,Greece
580752,22966,GINGERBREAD MAN COOKIE CUTTER,12,12/6/2011 9:56,1.25,12478.0,Greece
580752,20725,LUNCH BAG RED RETROSPOT,10,12/6/2011 9:56,1.65,12478.0,Greece
580752,20727,LUNCH BAG  BLACK SKULL.,10,12/6/2011 9:56,1.65,12478.0,Greece
580752,20728,LUNCH BAG CARS BLUE,10,12/6/2011 9:56,1.65,12478.0,Greece
580752,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/6/2011 9:56,4.95,12478.0,Greece
580752,21481,FAWN BLUE HOT WATER BOTTLE,4,12/6/2011 9:56,3.75,12478.0,Greece
580752,21479,WHITE SKULL HOT WATER BOTTLE ,4,12/6/2011 9:56,4.25,12478.0,Greece
580752,22584,PACK OF 6 PANETTONE GIFT BOXES,6,12/6/2011 9:56,2.55,12478.0,Greece
580752,22712,CARD DOLLY GIRL ,12,12/6/2011 9:56,0.42,12478.0,Greece
580752,22029,SPACEBOY BIRTHDAY CARD,12,12/6/2011 9:56,0.42,12478.0,Greece
580752,22037,ROBOT BIRTHDAY CARD,12,12/6/2011 9:56,0.42,12478.0,Greece
580752,20983,12 PENCILS TALL TUBE RED RETROSPOT,12,12/6/2011 9:56,0.85,12478.0,Greece
580752,20982,12 PENCILS TALL TUBE SKULLS,12,12/6/2011 9:56,0.85,12478.0,Greece
580752,22940,FELTCRAFT CHRISTMAS FAIRY,4,12/6/2011 9:56,4.25,12478.0,Greece
580752,22750,FELTCRAFT PRINCESS LOLA DOLL,4,12/6/2011 9:56,3.75,12478.0,Greece
580752,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12/6/2011 9:56,5.95,12478.0,Greece
580752,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/6/2011 9:56,1.45,12478.0,Greece
580752,22619,SET OF 6 SOLDIER SKITTLES,4,12/6/2011 9:56,3.75,12478.0,Greece
580752,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,12/6/2011 9:56,4.95,12478.0,Greece
580752,22138,BAKING SET 9 PIECE RETROSPOT ,6,12/6/2011 9:56,4.95,12478.0,Greece
580752,22327,ROUND SNACK BOXES SET OF 4 SKULLS,6,12/6/2011 9:56,2.95,12478.0,Greece
580752,20750,RED RETROSPOT MINI CASES,2,12/6/2011 9:56,7.95,12478.0,Greece
580752,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,12/6/2011 9:56,2.95,12478.0,Greece
580752,23084,RABBIT NIGHT LIGHT,6,12/6/2011 9:56,2.08,12478.0,Greece
580752,23256,CHILDRENS CUTLERY SPACEBOY ,4,12/6/2011 9:56,4.15,12478.0,Greece
580752,22617,BAKING SET SPACEBOY DESIGN,3,12/6/2011 9:56,4.95,12478.0,Greece
580752,22382,LUNCH BAG SPACEBOY DESIGN ,10,12/6/2011 9:56,1.65,12478.0,Greece
580752,23389,SPACEBOY MINI BACKPACK,4,12/6/2011 9:56,4.15,12478.0,Greece
580752,23390,DOLLY GIRL MINI BACKPACK,4,12/6/2011 9:56,4.15,12478.0,Greece
580752,23108,SET OF 10 LED DOLLY LIGHTS,2,12/6/2011 9:56,6.25,12478.0,Greece
580752,23254,CHILDRENS CUTLERY DOLLY GIRL ,4,12/6/2011 9:56,4.15,12478.0,Greece
580752,22899,CHILDREN'S APRON DOLLY GIRL ,6,12/6/2011 9:56,2.1,12478.0,Greece
