InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
541975,22620,4 TRADITIONAL SPINNING TOPS,60,1/24/2011 14:24,1.25,,Hong Kong
541975,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,6,1/24/2011 14:24,3.75,,Hong Kong
541975,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,6,1/24/2011 14:24,3.75,,Hong Kong
541975,16236,KITTY PENCIL ERASERS,28,1/24/2011 14:24,0.21,,Hong Kong
541975,21058,PARTY INVITES WOODLAND,12,1/24/2011 14:24,0.85,,Hong Kong
541975,21967,PACK OF 12 SKULL TISSUES,24,1/24/2011 14:24,0.29,,Hong Kong
541975,21981,PACK OF 12 WOODLAND TISSUES ,24,1/24/2011 14:24,0.29,,Hong Kong
541975,22553,PLASTERS IN TIN SKULLS,36,1/24/2011 14:24,1.65,,Hong Kong
541975,22556,PLASTERS IN TIN CIRCUS PARADE ,36,1/24/2011 14:24,1.65,,Hong Kong
541975,22554,PLASTERS IN TIN WOODLAND ANIMALS,36,1/24/2011 14:24,1.65,,Hong Kong
541975,22551,PLASTERS IN TIN SPACEBOY,36,1/24/2011 14:24,1.65,,Hong Kong
541975,21947,SET OF 6 HEART CHOPSTICKS,36,1/24/2011 14:24,1.25,,Hong Kong
541975,21948,SET OF 6 CAKE CHOPSTICKS,36,1/24/2011 14:24,1.25,,Hong Kong
541975,21949,SET OF 6 STRAWBERRY CHOPSTICKS,36,1/24/2011 14:24,1.25,,Hong Kong
541975,22636,CHILDS BREAKFAST SET CIRCUS PARADE,6,1/24/2011 14:24,8.5,,Hong Kong
541975,22634,CHILDS BREAKFAST SET SPACEBOY ,6,1/24/2011 14:24,9.95,,Hong Kong
541975,22635,CHILDS BREAKFAST SET DOLLY GIRL ,6,1/24/2011 14:24,9.95,,Hong Kong
541975,21246,RED RETROSPOT BIG BOWL,12,1/24/2011 14:24,4.95,,Hong Kong
541975,20677,PINK POLKADOT BOWL,24,1/24/2011 14:24,1.25,,Hong Kong
541975,20676,RED RETROSPOT BOWL,24,1/24/2011 14:24,1.25,,Hong Kong
541975,20675,BLUE POLKADOT BOWL,24,1/24/2011 14:24,1.25,,Hong Kong
541975,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,24,1/24/2011 14:24,3.75,,Hong Kong
541975,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,24,1/24/2011 14:24,3.75,,Hong Kong
541975,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,24,1/24/2011 14:24,3.75,,Hong Kong
541975,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",4,1/24/2011 14:24,4.95,,Hong Kong
541975,22204,MILK PAN BLUE POLKADOT,4,1/24/2011 14:24,3.75,,Hong Kong
541975,22203,MILK PAN RED RETROSPOT,4,1/24/2011 14:24,3.75,,Hong Kong
541975,22202,MILK PAN PINK POLKADOT,4,1/24/2011 14:24,3.75,,Hong Kong
541975,22630,DOLLY GIRL LUNCH BOX,12,1/24/2011 14:24,1.95,,Hong Kong
541975,22629,SPACEBOY LUNCH BOX ,12,1/24/2011 14:24,1.95,,Hong Kong
541975,22382,LUNCH BAG SPACEBOY DESIGN ,40,1/24/2011 14:24,1.65,,Hong Kong
541975,20726,LUNCH BAG WOODLAND,10,1/24/2011 14:24,1.65,,Hong Kong
541975,20725,LUNCH BAG RED RETROSPOT,10,1/24/2011 14:24,1.65,,Hong Kong
541975,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,96,1/24/2011 14:24,2.55,,Hong Kong
541975,22652,TRAVEL SEWING KIT,10,1/24/2011 14:24,1.65,,Hong Kong
541975,22454,MEASURING TAPE BABUSHKA RED,24,1/24/2011 14:24,2.95,,Hong Kong
541975,22452,MEASURING TAPE BABUSHKA PINK,24,1/24/2011 14:24,2.95,,Hong Kong
541975,21439,BASKET OF TOADSTOOLS,12,1/24/2011 14:24,1.25,,Hong Kong
541975,22137,BATHROOM SET LOVE HEART DESIGN,6,1/24/2011 14:24,2.95,,Hong Kong
541975,20963,APPLE BATH SPONGE,10,1/24/2011 14:24,1.25,,Hong Kong
541975,20961,STRAWBERRY BATH SPONGE ,10,1/24/2011 14:24,1.25,,Hong Kong
541975,47422,ASSORTED MONKEY SUCTION CUP HOOK,48,1/24/2011 14:24,0.42,,Hong Kong
541975,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,1/24/2011 14:24,3.25,,Hong Kong
541975,20749,ASSORTED COLOUR MINI CASES,6,1/24/2011 14:24,7.95,,Hong Kong
541975,22504,CABIN BAG VINTAGE RETROSPOT,6,1/24/2011 14:24,12.75,,Hong Kong
541975,22380,TOY TIDY SPACEBOY  ,25,1/24/2011 14:24,2.1,,Hong Kong
541975,21843,RED RETROSPOT CAKE STAND,4,1/24/2011 14:24,10.95,,Hong Kong
541975,20749,ASSORTED COLOUR MINI CASES,12,1/24/2011 14:24,6.35,,Hong Kong
541975,21949,SET OF 6 STRAWBERRY CHOPSTICKS,12,1/24/2011 14:24,1.25,,Hong Kong
541975,21948,SET OF 6 CAKE CHOPSTICKS,12,1/24/2011 14:24,1.25,,Hong Kong
541975,21947,SET OF 6 HEART CHOPSTICKS,12,1/24/2011 14:24,1.25,,Hong Kong
541975,22382,LUNCH BAG SPACEBOY DESIGN ,20,1/24/2011 14:24,1.65,,Hong Kong
541975,20726,LUNCH BAG WOODLAND,20,1/24/2011 14:24,1.65,,Hong Kong
541975,22452,MEASURING TAPE BABUSHKA PINK,24,1/24/2011 14:24,2.95,,Hong Kong
541975,22454,MEASURING TAPE BABUSHKA RED,24,1/24/2011 14:24,2.95,,Hong Kong
541975,20749,ASSORTED COLOUR MINI CASES,6,1/24/2011 14:24,7.95,,Hong Kong
541975,20682,RED RETROSPOT CHILDRENS UMBRELLA,6,1/24/2011 14:24,3.25,,Hong Kong
C546557,M,Manual,-1,3/15/2011 9:44,2583.76,,Hong Kong
546558,M,Manual,1,3/15/2011 9:50,2583.76,,Hong Kong
549738,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,4/12/2011 9:28,8.25,,Hong Kong
549738,23053,RECYCLED ACAPULCO MAT PINK,2,4/12/2011 9:28,8.25,,Hong Kong
549738,22423,REGENCY CAKESTAND 3 TIER,6,4/12/2011 9:28,12.75,,Hong Kong
549738,20750,RED RETROSPOT MINI CASES,6,4/12/2011 9:28,7.95,,Hong Kong
549738,20682,RED RETROSPOT CHILDRENS UMBRELLA,12,4/12/2011 9:28,3.25,,Hong Kong
549738,47422,ASSORTED MONKEY SUCTION CUP HOOK,48,4/12/2011 9:28,0.42,,Hong Kong
549738,84849B,FAIRY SOAP SOAP HOLDER,12,4/12/2011 9:28,1.69,,Hong Kong
549738,22137,BATHROOM SET LOVE HEART DESIGN,6,4/12/2011 9:28,2.95,,Hong Kong
549738,20961,STRAWBERRY BATH SPONGE ,20,4/12/2011 9:28,1.25,,Hong Kong
549738,20963,APPLE BATH SPONGE,10,4/12/2011 9:28,1.25,,Hong Kong
549738,21156,RETROSPOT CHILDRENS APRON,8,4/12/2011 9:28,1.95,,Hong Kong
549738,22367,CHILDRENS APRON SPACEBOY DESIGN,8,4/12/2011 9:28,1.95,,Hong Kong
549738,84997D,CHILDRENS CUTLERY POLKADOT PINK,40,4/12/2011 9:28,4.15,,Hong Kong
549738,84997B,CHILDRENS CUTLERY RETROSPOT RED ,40,4/12/2011 9:28,4.15,,Hong Kong
549738,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,16,4/12/2011 9:28,4.15,,Hong Kong
549738,22327,ROUND SNACK BOXES SET OF 4 SKULLS,12,4/12/2011 9:28,2.95,,Hong Kong
549738,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,30,4/12/2011 9:28,2.95,,Hong Kong
549738,22628,PICNIC BOXES SET OF 3 RETROSPOT ,12,4/12/2011 9:28,4.95,,Hong Kong
549738,22631,CIRCUS PARADE LUNCH BOX ,12,4/12/2011 9:28,1.95,,Hong Kong
549738,22659,LUNCH BOX I LOVE LONDON,12,4/12/2011 9:28,1.95,,Hong Kong
549738,22203,MILK PAN RED RETROSPOT,12,4/12/2011 9:28,3.75,,Hong Kong
549738,21154,RED RETROSPOT OVEN GLOVE ,10,4/12/2011 9:28,1.25,,Hong Kong
549738,21239,PINK  POLKADOT CUP,48,4/12/2011 9:28,0.85,,Hong Kong
549738,21240,BLUE POLKADOT CUP,48,4/12/2011 9:28,0.85,,Hong Kong
549738,21238,RED RETROSPOT CUP,48,4/12/2011 9:28,0.85,,Hong Kong
549738,20676,RED RETROSPOT BOWL,48,4/12/2011 9:28,1.25,,Hong Kong
549738,20675,BLUE POLKADOT BOWL,48,4/12/2011 9:28,1.25,,Hong Kong
549738,20677,PINK POLKADOT BOWL,48,4/12/2011 9:28,1.25,,Hong Kong
549738,20674,GREEN POLKADOT BOWL,48,4/12/2011 9:28,1.25,,Hong Kong
549738,21843,RED RETROSPOT CAKE STAND,8,4/12/2011 9:28,10.95,,Hong Kong
549738,22180,RETROSPOT LAMP,4,4/12/2011 9:28,9.95,,Hong Kong
549738,22418,10 COLOUR SPACEBOY PEN,48,4/12/2011 9:28,0.85,,Hong Kong
553148,21294,ETCHED GLASS COASTER,48,5/13/2011 14:09,0.39,,Hong Kong
553148,21794,CLASSIC FRENCH STYLE BASKET NATURAL,8,5/13/2011 14:09,3.95,,Hong Kong
553148,79030G,TUMBLER NEW ENGLAND,24,5/13/2011 14:09,0.39,,Hong Kong
553148,84563A,PINK & WHITE BREAKFAST TRAY,4,5/13/2011 14:09,2.95,,Hong Kong
553148,84563B,BLUE & WHITE BREAKFAST TRAY,4,5/13/2011 14:09,2.95,,Hong Kong
553148,84706D,CHERRY BLOSSOM TABLE CLOCK ,2,5/13/2011 14:09,1.95,,Hong Kong
553148,85132A,CHARLIE + LOLA BISCUITS TINS,12,5/13/2011 14:09,1.95,,Hong Kong
553148,22139,RETROSPOT TEA SET CERAMIC 11 PC ,6,5/13/2011 14:09,4.95,,Hong Kong
553148,22617,BAKING SET SPACEBOY DESIGN,6,5/13/2011 14:09,4.95,,Hong Kong
553148,22138,BAKING SET 9 PIECE RETROSPOT ,6,5/13/2011 14:09,4.95,,Hong Kong
553148,23077,DOUGHNUT LIP GLOSS ,20,5/13/2011 14:09,1.25,,Hong Kong
553148,23076,ICE CREAM SUNDAE LIP GLOSS,24,5/13/2011 14:09,1.25,,Hong Kong
553148,84580,MOUSE TOY WITH PINK T-SHIRT,4,5/13/2011 14:09,3.75,,Hong Kong
553148,84581,DOG TOY WITH PINK CROCHET SKIRT,4,5/13/2011 14:09,3.75,,Hong Kong
553148,22176,BLUE OWL SOFT TOY,6,5/13/2011 14:09,2.95,,Hong Kong
553148,22128,PARTY CONES CANDY ASSORTED,12,5/13/2011 14:09,1.25,,Hong Kong
553148,22129,PARTY CONES CANDY TREE DECORATION,12,5/13/2011 14:09,0.85,,Hong Kong
553148,22333,RETROSPOT PARTY BAG + STICKER SET,8,5/13/2011 14:09,1.65,,Hong Kong
553148,47599B,BLUE PARTY BAGS ,6,5/13/2011 14:09,2.1,,Hong Kong
553148,47599A,PINK PARTY BAGS,6,5/13/2011 14:09,2.1,,Hong Kong
553148,22331,WOODLAND PARTY BAG + STICKER SET,8,5/13/2011 14:09,1.65,,Hong Kong
553148,22334,DINOSAUR PARTY BAG + STICKER SET,8,5/13/2011 14:09,1.65,,Hong Kong
553148,22332,SKULLS PARTY BAG + STICKER SET,8,5/13/2011 14:09,1.65,,Hong Kong
553148,22356,CHARLOTTE BAG PINK POLKADOT,10,5/13/2011 14:09,0.85,,Hong Kong
