InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C539037,84792,ENCHANTED BIRD COATHANGER 5 HOOK,-24,12/15/2010 14:42,3.81,12666.0,Israel
C539037,22474,SPACEBOY TV DINNER TRAY,-32,12/15/2010 14:42,4.25,12666.0,Israel
540556,21397,BLUE POLKADOT EGG CUP ,12,1/10/2011 9:58,1.25,,Israel
540556,21242,RED RETROSPOT PLATE ,16,1/10/2011 9:58,1.69,,Israel
540556,21246,RED RETROSPOT BIG BOWL,6,1/10/2011 9:58,4.95,,Israel
540556,47566,PARTY BUNTING,10,1/10/2011 9:58,4.65,,Israel
540556,21115,ROSE CARAVAN DOORSTOP,2,1/10/2011 9:58,6.75,,Israel
540556,22317,FIVE CATS HANGING DECORATION,6,1/10/2011 9:58,2.95,,Israel
540556,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,1/10/2011 9:58,3.75,,Israel
540556,22451,SILK PURSE BABUSHKA RED,6,1/10/2011 9:58,3.35,,Israel
540556,22450,SILK PURSE BABUSHKA BLUE,6,1/10/2011 9:58,3.35,,Israel
540556,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,1/10/2011 9:58,3.95,,Israel
540556,22723,SET OF 6 HERB TINS SKETCHBOOK,8,1/10/2011 9:58,3.95,,Israel
540556,22781,GUMBALL MAGAZINE RACK,4,1/10/2011 9:58,7.65,,Israel
540556,22468,BABUSHKA LIGHTS STRING OF 10,10,1/10/2011 9:58,6.75,,Israel
540556,22721,SET OF 3 CAKE TINS SKETCHBOOK,6,1/10/2011 9:58,4.95,,Israel
544108,22245,"HOOK, 1 HANGER ,MAGIC GARDEN",24,2/16/2011 10:53,0.85,12653.0,Israel
544108,22244,3 HOOK HANGER MAGIC GARDEN,12,2/16/2011 10:53,1.95,12653.0,Israel
544108,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,12,2/16/2011 10:53,1.65,12653.0,Israel
544108,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,36,2/16/2011 10:53,1.25,12653.0,Israel
544108,22629,SPACEBOY LUNCH BOX ,24,2/16/2011 10:53,1.95,12653.0,Israel
544108,22630,DOLLY GIRL LUNCH BOX,36,2/16/2011 10:53,1.95,12653.0,Israel
544108,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,2/16/2011 10:53,2.55,12653.0,Israel
544108,22423,REGENCY CAKESTAND 3 TIER,16,2/16/2011 10:53,10.95,12653.0,Israel
544108,22192,BLUE DINER WALL CLOCK,12,2/16/2011 10:53,7.65,12653.0,Israel
544108,22193,RED DINER WALL CLOCK,12,2/16/2011 10:53,7.65,12653.0,Israel
544108,22433,WATERING CAN GREEN DINOSAUR,6,2/16/2011 10:53,1.95,12653.0,Israel
544108,22432,WATERING CAN PINK BUNNY,6,2/16/2011 10:53,1.95,12653.0,Israel
544108,22431,WATERING CAN BLUE ELEPHANT,12,2/16/2011 10:53,1.95,12653.0,Israel
544108,20724,RED RETROSPOT CHARLOTTE BAG,10,2/16/2011 10:53,0.85,12653.0,Israel
544108,20719,WOODLAND CHARLOTTE BAG,10,2/16/2011 10:53,0.85,12653.0,Israel
544108,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2/16/2011 10:53,0.85,12653.0,Israel
548562,22191,IVORY DINER WALL CLOCK,2,4/1/2011 10:18,8.5,,Israel
548562,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,4/1/2011 10:18,8.25,,Israel
548562,23049,RECYCLED ACAPULCO MAT RED,2,4/1/2011 10:18,8.25,,Israel
548562,22494,EMERGENCY FIRST AID TIN ,12,4/1/2011 10:18,1.25,,Israel
548562,21260,FIRST AID TIN,6,4/1/2011 10:18,3.25,,Israel
548562,22960,JAM MAKING SET WITH JARS,6,4/1/2011 10:18,4.25,,Israel
559948,23211,RED ROCKING HORSE HAND PAINTED,24,7/14/2011 10:41,1.25,12653.0,Israel
559948,21294,ETCHED GLASS COASTER,48,7/14/2011 10:41,0.39,12653.0,Israel
559948,23179,CLOCK MAGNET MUM'S KITCHEN,24,7/14/2011 10:41,2.89,12653.0,Israel
559948,20719,WOODLAND CHARLOTTE BAG,10,7/14/2011 10:41,0.85,12653.0,Israel
559948,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,7/14/2011 10:41,0.85,12653.0,Israel
559948,22355,CHARLOTTE BAG SUKI DESIGN,20,7/14/2011 10:41,0.85,12653.0,Israel
559948,22913,RED COAT RACK PARIS FASHION,9,7/14/2011 10:41,4.95,12653.0,Israel
559948,22912,YELLOW COAT RACK PARIS FASHION,6,7/14/2011 10:41,4.95,12653.0,Israel
559948,22914,BLUE COAT RACK PARIS FASHION,12,7/14/2011 10:41,4.95,12653.0,Israel
559948,23170,REGENCY TEA PLATE ROSES ,48,7/14/2011 10:41,1.45,12653.0,Israel
559948,22585,PACK OF 6 BIRDY GIFT TAGS,12,7/14/2011 10:41,1.25,12653.0,Israel
559948,23281,FOLDING BUTTERFLY MIRROR RED  ,12,7/14/2011 10:41,0.83,12653.0,Israel
559948,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,24,7/14/2011 10:41,0.83,12653.0,Israel
559948,23282,FOLDING BUTTERFLY MIRROR IVORY ,24,7/14/2011 10:41,0.83,12653.0,Israel
559948,22629,SPACEBOY LUNCH BOX ,12,7/14/2011 10:41,1.95,12653.0,Israel
559948,22630,DOLLY GIRL LUNCH BOX,12,7/14/2011 10:41,1.95,12653.0,Israel
559948,22423,REGENCY CAKESTAND 3 TIER,32,7/14/2011 10:41,10.95,12653.0,Israel
559948,22192,BLUE DINER WALL CLOCK,12,7/14/2011 10:41,7.65,12653.0,Israel
559948,22595,GINGHAM HEART DECORATION,36,7/14/2011 10:41,0.85,12653.0,Israel
559948,22652,TRAVEL SEWING KIT,20,7/14/2011 10:41,1.65,12653.0,Israel
559948,23292,SPACEBOY CHILDRENS CUP,24,7/14/2011 10:41,1.25,12653.0,Israel
559948,23290,SPACEBOY CHILDRENS BOWL,24,7/14/2011 10:41,1.25,12653.0,Israel
559948,23291,DOLLY GIRL CHILDRENS CUP,24,7/14/2011 10:41,1.25,12653.0,Israel
559948,23289,DOLLY GIRL CHILDRENS BOWL,24,7/14/2011 10:41,1.25,12653.0,Israel
559948,23236,DOILEY STORAGE TIN,48,7/14/2011 10:41,2.49,12653.0,Israel
559948,23240,SET OF 4 KNICK KNACK TINS DOILEY ,48,7/14/2011 10:41,3.75,12653.0,Israel
559948,23210,WHITE ROCKING HORSE HAND PAINTED,24,7/14/2011 10:41,1.25,12653.0,Israel
563613,20717,STRAWBERRY SHOPPER BAG,60,8/18/2011 8:49,1.25,12688.0,Israel
563613,20718,RED RETROSPOT SHOPPER BAG,60,8/18/2011 8:49,1.25,12688.0,Israel
563613,20712,JUMBO BAG WOODLAND ANIMALS,10,8/18/2011 8:49,2.08,12688.0,Israel
563613,22377,BOTTLE BAG RETROSPOT ,10,8/18/2011 8:49,2.1,12688.0,Israel
563613,23199,JUMBO BAG APPLES,10,8/18/2011 8:49,2.08,12688.0,Israel
563613,22386,JUMBO BAG PINK POLKADOT,10,8/18/2011 8:49,2.08,12688.0,Israel
563613,23200,JUMBO BAG PEARS,10,8/18/2011 8:49,2.08,12688.0,Israel
563613,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,8/18/2011 8:49,2.08,12688.0,Israel
563613,20719,WOODLAND CHARLOTTE BAG,100,8/18/2011 8:49,0.72,12688.0,Israel
563613,20723,STRAWBERRY CHARLOTTE BAG,10,8/18/2011 8:49,0.85,12688.0,Israel
563613,20724,RED RETROSPOT CHARLOTTE BAG,100,8/18/2011 8:49,0.72,12688.0,Israel
563613,20749,ASSORTED COLOUR MINI CASES,12,8/18/2011 8:49,6.35,12688.0,Israel
563613,21000,ROSE DU SUD COSMETICS BAG,6,8/18/2011 8:49,4.25,12688.0,Israel
563613,21001,ROSE DU SUD WASHBAG ,3,8/18/2011 8:49,5.95,12688.0,Israel
563613,84912B,GREEN ROSE WASHBAG,4,8/18/2011 8:49,3.75,12688.0,Israel
563613,84912A,PINK ROSE WASHBAG,4,8/18/2011 8:49,3.75,12688.0,Israel
563613,84849A,HELLO SAILOR BLUE SOAP HOLDER,12,8/18/2011 8:49,1.69,12688.0,Israel
563613,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,2,8/18/2011 8:49,8.5,12688.0,Israel
563613,22762,CUPBOARD 3 DRAWER MA CAMPAGNE,8,8/18/2011 8:49,12.75,12688.0,Israel
563613,23112,PARISIENNE CURIO CABINET,2,8/18/2011 8:49,7.5,12688.0,Israel
563613,22485,SET OF 2 WOODEN MARKET CRATES,4,8/18/2011 8:49,12.75,12688.0,Israel
563613,22824,3 TIER SWEETHEART GARDEN SHELF,1,8/18/2011 8:49,35.95,12688.0,Israel
563613,22487,WHITE WOOD GARDEN PLANT LADDER,1,8/18/2011 8:49,9.95,12688.0,Israel
563613,22961,JAM MAKING SET PRINTED,12,8/18/2011 8:49,1.45,12688.0,Israel
563613,22960,JAM MAKING SET WITH JARS,12,8/18/2011 8:49,3.75,12688.0,Israel
563613,22077,6 RIBBONS RUSTIC CHARM,12,8/18/2011 8:49,1.65,12688.0,Israel
563613,21279,VINTAGE KITCHEN PRINT FRUITS,6,8/18/2011 8:49,2.55,12688.0,Israel
563613,21280,VINTAGE KITCHEN PRINT VEGETABLES,6,8/18/2011 8:49,2.55,12688.0,Israel
563613,21249,WOODLAND  HEIGHT CHART STICKERS ,30,8/18/2011 8:49,2.55,12688.0,Israel
563613,82613B,"METAL SIGN,CUPCAKE SINGLE HOOK",8,8/18/2011 8:49,1.25,12688.0,Israel
563613,82613C,"METAL SIGN,CUPCAKE SINGLE HOOK",8,8/18/2011 8:49,1.25,12688.0,Israel
563613,82613D,METAL SIGN CUPCAKE SINGLE HOOK,8,8/18/2011 8:49,1.25,12688.0,Israel
563613,22083,PAPER CHAIN KIT RETROSPOT,36,8/18/2011 8:49,2.95,12688.0,Israel
563613,22204,MILK PAN BLUE POLKADOT,4,8/18/2011 8:49,3.75,12688.0,Israel
563613,22203,MILK PAN RED RETROSPOT,4,8/18/2011 8:49,3.75,12688.0,Israel
563613,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,8/18/2011 8:49,3.25,12688.0,Israel
563613,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,8/18/2011 8:49,3.25,12688.0,Israel
563613,22200,FRYING PAN PINK POLKADOT,4,8/18/2011 8:49,4.25,12688.0,Israel
563613,22201,FRYING PAN BLUE POLKADOT,4,8/18/2011 8:49,4.25,12688.0,Israel
563613,22378,WALL TIDY RETROSPOT ,5,8/18/2011 8:49,2.1,12688.0,Israel
563613,22832,BROCANTE SHELF WITH HOOKS,2,8/18/2011 8:49,10.75,12688.0,Israel
563613,21212,PACK OF 72 RETROSPOT CAKE CASES,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,21975,PACK OF 60 DINOSAUR CAKE CASES,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,22417,PACK OF 60 SPACEBOY CAKE CASES,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,21976,PACK OF 60 MUSHROOM CAKE CASES,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,8/18/2011 8:49,0.55,12688.0,Israel
563613,22848,BREAD BIN DINER STYLE PINK,1,8/18/2011 8:49,16.95,12688.0,Israel
563613,22627,MINT KITCHEN SCALES,4,8/18/2011 8:49,8.5,12688.0,Israel
563613,22625,RED KITCHEN SCALES,4,8/18/2011 8:49,8.5,12688.0,Israel
563613,22567,20 DOLLY PEGS RETROSPOT,12,8/18/2011 8:49,1.45,12688.0,Israel
563613,23245,SET OF 3 REGENCY CAKE TINS,12,8/18/2011 8:49,4.95,12688.0,Israel
563613,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,48,8/18/2011 8:49,2.55,12688.0,Israel
563613,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,12,8/18/2011 8:49,2.95,12688.0,Israel
563613,22628,PICNIC BOXES SET OF 3 RETROSPOT ,12,8/18/2011 8:49,4.95,12688.0,Israel
563613,22329,ROUND CONTAINER SET OF 5 RETROSPOT,12,8/18/2011 8:49,1.65,12688.0,Israel
563613,22629,SPACEBOY LUNCH BOX ,12,8/18/2011 8:49,1.95,12688.0,Israel
563613,22630,DOLLY GIRL LUNCH BOX,12,8/18/2011 8:49,1.95,12688.0,Israel
563613,22631,CIRCUS PARADE LUNCH BOX ,12,8/18/2011 8:49,1.95,12688.0,Israel
563613,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,8/18/2011 8:49,1.25,12688.0,Israel
563613,23167,SMALL CERAMIC TOP STORAGE JAR ,12,8/18/2011 8:49,0.83,12688.0,Israel
563613,23174,REGENCY SUGAR BOWL GREEN,4,8/18/2011 8:49,4.15,12688.0,Israel
563613,22343,PARTY PIZZA DISH RED RETROSPOT,12,8/18/2011 8:49,0.85,12688.0,Israel
563613,22345,PARTY PIZZA DISH BLUE POLKADOT,24,8/18/2011 8:49,0.85,12688.0,Israel
