InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
555931,22784,LANTERN CREAM GAZEBO ,3,6/8/2011 8:31,4.95,17828.0,Malta
555931,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/8/2011 8:31,2.95,17828.0,Malta
555931,21733,RED HANGING HEART T-LIGHT HOLDER,6,6/8/2011 8:31,2.95,17828.0,Malta
555931,21126,SET OF 6 GIRLS CELEBRATION CANDLES,12,6/8/2011 8:31,1.25,17828.0,Malta
555931,72140E,BEST DAD CANDLE LETTERS,6,6/8/2011 8:31,0.85,17828.0,Malta
555931,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,4,6/8/2011 8:31,4.25,17828.0,Malta
555931,72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,4,6/8/2011 8:31,4.25,17828.0,Malta
555931,85034B,3 WHITE CHOC MORRIS BOXED CANDLES,4,6/8/2011 8:31,4.25,17828.0,Malta
555931,72741,GRAND CHOCOLATECANDLE,18,6/8/2011 8:31,1.45,17828.0,Malta
555931,85230A,OPIUM SCENTED VOTIVE CANDLE,24,6/8/2011 8:31,0.29,17828.0,Malta
555931,72800E,4 IVORY DINNER CANDLES SILVER FLOCK,12,6/8/2011 8:31,2.1,17828.0,Malta
555931,22149,FELTCRAFT 6 FLOWER FRIENDS,6,6/8/2011 8:31,2.1,17828.0,Malta
555931,22511,RETROSPOT BABUSHKA DOORSTOP,4,6/8/2011 8:31,3.75,17828.0,Malta
555931,84865,NEW BAROQUE BLACK PHOTO ALBUM,2,6/8/2011 8:31,2.95,17828.0,Malta
555931,22796,PHOTO FRAME 3 CLASSIC HANGING,2,6/8/2011 8:31,9.95,17828.0,Malta
555931,22767,TRIPLE PHOTO FRAME CORNICE ,2,6/8/2011 8:31,9.95,17828.0,Malta
555931,84708B,PINK JEWELLED PHOTO FRAME ,4,6/8/2011 8:31,4.95,17828.0,Malta
555931,84638,SMALL KITCHEN FLOWER POTS PLAQUE,2,6/8/2011 8:31,6.95,17828.0,Malta
555931,84637,KITCHEN FLOWER POTS WALL PLAQUE,3,6/8/2011 8:31,5.95,17828.0,Malta
555931,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,6/8/2011 8:31,1.45,17828.0,Malta
555931,22244,3 HOOK HANGER MAGIC GARDEN,12,6/8/2011 8:31,1.95,17828.0,Malta
555931,84661B,BLACK SQUARE TABLE CLOCK,6,6/8/2011 8:31,2.55,17828.0,Malta
555931,84661A,WHITE SQUARE TABLE CLOCK,6,6/8/2011 8:31,2.55,17828.0,Malta
555931,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,6/8/2011 8:31,3.25,17828.0,Malta
555931,84050,PINK HEART SHAPE EGG FRYING PAN,6,6/8/2011 8:31,1.65,17828.0,Malta
555931,21154,RED RETROSPOT OVEN GLOVE ,10,6/8/2011 8:31,1.25,17828.0,Malta
555931,21041,RED RETROSPOT OVEN GLOVE DOUBLE,6,6/8/2011 8:31,2.95,17828.0,Malta
555931,21231,SWEETHEART CERAMIC TRINKET BOX,12,6/8/2011 8:31,1.25,17828.0,Malta
555931,22064,PINK DOUGHNUT TRINKET POT ,12,6/8/2011 8:31,1.65,17828.0,Malta
