InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
571035,21238,RED RETROSPOT CUP,8,10/13/2011 12:50,0.85,12446.0,RSA
571035,21243,PINK  POLKADOT PLATE ,8,10/13/2011 12:50,1.69,12446.0,RSA
571035,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,10/13/2011 12:50,4.15,12446.0,RSA
571035,23209,LUNCH BAG VINTAGE DOILY ,10,10/13/2011 12:50,1.65,12446.0,RSA
571035,23201,JUMBO BAG ALPHABET,10,10/13/2011 12:50,2.08,12446.0,RSA
571035,23205,CHARLOTTE BAG VINTAGE ALPHABET ,10,10/13/2011 12:50,0.85,12446.0,RSA
571035,21936,RED RETROSPOT PICNIC BAG,5,10/13/2011 12:50,2.95,12446.0,RSA
571035,22620,4 TRADITIONAL SPINNING TOPS,12,10/13/2011 12:50,1.45,12446.0,RSA
571035,22619,SET OF 6 SOLDIER SKITTLES,4,10/13/2011 12:50,3.75,12446.0,RSA
571035,21889,WOODEN BOX OF DOMINOES,12,10/13/2011 12:50,1.25,12446.0,RSA
571035,22139,RETROSPOT TEA SET CERAMIC 11 PC ,3,10/13/2011 12:50,4.95,12446.0,RSA
571035,23348,CHILDRENS TOY COOKING UTENSIL SET,6,10/13/2011 12:50,2.08,12446.0,RSA
571035,22138,BAKING SET 9 PIECE RETROSPOT ,3,10/13/2011 12:50,4.95,12446.0,RSA
571035,23389,SPACEBOY MINI BACKPACK,4,10/13/2011 12:50,4.15,12446.0,RSA
571035,47590B,PINK HAPPY BIRTHDAY BUNTING,3,10/13/2011 12:50,5.45,12446.0,RSA
571035,23528,SPACEBOY WALL ART,6,10/13/2011 12:50,3.75,12446.0,RSA
571035,22467,GUMBALL COAT RACK,6,10/13/2011 12:50,2.55,12446.0,RSA
571035,22605,WOODEN CROQUET GARDEN SET,2,10/13/2011 12:50,14.95,12446.0,RSA
571035,21580,RABBIT  DESIGN  COTTON TOTE BAG,6,10/13/2011 12:50,2.25,12446.0,RSA
571035,22508,DOORSTOP RETROSPOT HEART,4,10/13/2011 12:50,3.75,12446.0,RSA
571035,22526,WHEELBARROW FOR CHILDREN ,2,10/13/2011 12:50,12.75,12446.0,RSA
571035,22478,BIRDHOUSE GARDEN MARKER ,10,10/13/2011 12:50,1.25,12446.0,RSA
571035,47566,PARTY BUNTING,4,10/13/2011 12:50,4.95,12446.0,RSA
571035,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,10/13/2011 12:50,2.95,12446.0,RSA
571035,23395,BELLE JARDINIERE CUSHION COVER,4,10/13/2011 12:50,3.75,12446.0,RSA
571035,48138,DOORMAT UNION FLAG,2,10/13/2011 12:50,8.25,12446.0,RSA
571035,22178,VICTORIAN GLASS HANGING T-LIGHT,6,10/13/2011 12:50,1.95,12446.0,RSA
571035,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,10/13/2011 12:50,0.42,12446.0,RSA
571035,23316,RED REFECTORY CLOCK ,2,10/13/2011 12:50,9.95,12446.0,RSA
571035,23169,CLASSIC GLASS COOKIE JAR,6,10/13/2011 12:50,4.15,12446.0,RSA
571035,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,10/13/2011 12:50,2.08,12446.0,RSA
571035,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,3,10/13/2011 12:50,12.75,12446.0,RSA
571035,85066,CREAM SWEETHEART MINI CHEST,2,10/13/2011 12:50,12.75,12446.0,RSA
571035,23407,SET OF 2 TRAYS HOME SWEET HOME,2,10/13/2011 12:50,9.95,12446.0,RSA
571035,23469,CARD HOLDER LOVE BIRD SMALL,6,10/13/2011 12:50,4.15,12446.0,RSA
571035,23284,DOORMAT KEEP CALM AND COME IN,2,10/13/2011 12:50,8.25,12446.0,RSA
571035,22727,ALARM CLOCK BAKELIKE RED ,4,10/13/2011 12:50,3.75,12446.0,RSA
571035,22624,IVORY KITCHEN SCALES,2,10/13/2011 12:50,8.5,12446.0,RSA
571035,22625,RED KITCHEN SCALES,2,10/13/2011 12:50,8.5,12446.0,RSA
571035,22423,REGENCY CAKESTAND 3 TIER,2,10/13/2011 12:50,12.75,12446.0,RSA
571035,22960,JAM MAKING SET WITH JARS,6,10/13/2011 12:50,4.25,12446.0,RSA
571035,23298,SPOTTY BUNTING,6,10/13/2011 12:50,4.95,12446.0,RSA
571035,84375,SET OF 20 KIDS COOKIE CUTTERS,12,10/13/2011 12:50,2.1,12446.0,RSA
571035,21242,RED RETROSPOT PLATE ,8,10/13/2011 12:50,1.69,12446.0,RSA
571035,22384,LUNCH BAG PINK POLKADOT,10,10/13/2011 12:50,1.65,12446.0,RSA
571035,20725,LUNCH BAG RED RETROSPOT,10,10/13/2011 12:50,1.65,12446.0,RSA
571035,20718,RED RETROSPOT SHOPPER BAG,10,10/13/2011 12:50,1.25,12446.0,RSA
571035,23203,JUMBO BAG VINTAGE DOILY ,10,10/13/2011 12:50,2.08,12446.0,RSA
571035,23245,SET OF 3 REGENCY CAKE TINS,4,10/13/2011 12:50,4.95,12446.0,RSA
571035,20676,RED RETROSPOT BOWL,8,10/13/2011 12:50,1.25,12446.0,RSA
571035,20677,PINK POLKADOT BOWL,8,10/13/2011 12:50,1.25,12446.0,RSA
571035,22381,TOY TIDY PINK POLKADOT,5,10/13/2011 12:50,2.1,12446.0,RSA
571035,22380,TOY TIDY SPACEBOY  ,5,10/13/2011 12:50,2.1,12446.0,RSA
571035,22585,PACK OF 6 BIRDY GIFT TAGS,12,10/13/2011 12:50,1.25,12446.0,RSA
571035,23081,GREEN METAL BOX ARMY SUPPLIES,2,10/13/2011 12:50,8.25,12446.0,RSA
571035,85099B,JUMBO BAG RED RETROSPOT,10,10/13/2011 12:50,2.08,12446.0,RSA
571035,47591D,PINK FAIRY CAKE CHILDRENS APRON,8,10/13/2011 12:50,1.95,12446.0,RSA
571035,M,Manual,1,10/13/2011 12:50,0.0,12446.0,RSA
