InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
542102,21519,GIN & TONIC DIET GREETING CARD ,72,1/25/2011 13:26,0.36,12744.0,Singapore
542102,22697,GREEN REGENCY TEACUP AND SAUCER,6,1/25/2011 13:26,2.95,12744.0,Singapore
542102,22699,ROSES REGENCY TEACUP AND SAUCER ,6,1/25/2011 13:26,2.95,12744.0,Singapore
542102,22343,PARTY PIZZA DISH RED RETROSPOT,24,1/25/2011 13:26,0.21,12744.0,Singapore
542102,22344,PARTY PIZZA DISH PINK POLKADOT,24,1/25/2011 13:26,0.21,12744.0,Singapore
542102,22345,PARTY PIZZA DISH BLUE POLKADOT,24,1/25/2011 13:26,0.21,12744.0,Singapore
542102,22346,PARTY PIZZA DISH GREEN POLKADOT,24,1/25/2011 13:26,0.21,12744.0,Singapore
542102,22960,JAM MAKING SET WITH JARS,12,1/25/2011 13:26,3.75,12744.0,Singapore
542102,22969,HOMEMADE JAM SCENTED CANDLES,24,1/25/2011 13:26,1.45,12744.0,Singapore
542102,20971,PINK BLUE FELT CRAFT TRINKET BOX,48,1/25/2011 13:26,1.25,12744.0,Singapore
542102,20972,PINK CREAM FELT CRAFT TRINKET BOX ,48,1/25/2011 13:26,1.25,12744.0,Singapore
542102,21755,LOVE BUILDING BLOCK WORD,18,1/25/2011 13:26,5.45,12744.0,Singapore
542102,21756,BATH BUILDING BLOCK WORD,6,1/25/2011 13:26,5.95,12744.0,Singapore
542102,21465,PINK FLOWER CROCHET FOOD COVER,6,1/25/2011 13:26,3.75,12744.0,Singapore
542102,21471,STRAWBERRY RAFFIA FOOD COVER,6,1/25/2011 13:26,3.75,12744.0,Singapore
542102,21469,POLKA DOT RAFFIA FOOD COVER,6,1/25/2011 13:26,3.75,12744.0,Singapore
542102,22348,TEA BAG PLATE RED RETROSPOT,24,1/25/2011 13:26,0.85,12744.0,Singapore
542102,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,1/25/2011 13:26,1.25,12744.0,Singapore
542102,21790,VINTAGE SNAP CARDS,72,1/25/2011 13:26,0.72,12744.0,Singapore
542102,21156,RETROSPOT CHILDRENS APRON,16,1/25/2011 13:26,1.95,12744.0,Singapore
542102,22367,CHILDRENS APRON SPACEBOY DESIGN,16,1/25/2011 13:26,1.95,12744.0,Singapore
