InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
C538847,85232B,SET OF 3 BABUSHKA STACKING TINS,-240,12/14/2010 13:27,4.95,17404.0,Sweden
538848,85232B,SET OF 3 BABUSHKA STACKING TINS,240,12/14/2010 13:28,4.95,17404.0,Sweden
539338,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,576,12/17/2010 10:54,0.29,17404.0,Sweden
539338,22951,60 CAKE CASES DOLLY GIRL DESIGN,240,12/17/2010 10:54,0.55,17404.0,Sweden
539338,22417,PACK OF 60 SPACEBOY CAKE CASES,240,12/17/2010 10:54,0.55,17404.0,Sweden
539338,21977,PACK OF 60 PINK PAISLEY CAKE CASES,240,12/17/2010 10:54,0.55,17404.0,Sweden
539338,84992,72 SWEETHEART FAIRY CAKE CASES,240,12/17/2010 10:54,0.55,17404.0,Sweden
539338,21212,PACK OF 72 RETROSPOT CAKE CASES,240,12/17/2010 10:54,0.55,17404.0,Sweden
539338,22949,36 DOILIES DOLLY GIRL,144,12/17/2010 10:54,1.45,17404.0,Sweden
539338,21210,SET OF 72 RETROSPOT PAPER  DOILIES,288,12/17/2010 10:54,1.45,17404.0,Sweden
539338,22536,MAGIC DRAWING SLATE PURDEY,192,12/17/2010 10:54,0.42,17404.0,Sweden
539338,22530,MAGIC DRAWING SLATE DOLLY GIRL ,192,12/17/2010 10:54,0.42,17404.0,Sweden
539338,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,12/17/2010 10:54,1.65,17404.0,Sweden
539338,22489,PACK OF 12 TRADITIONAL CRAYONS,144,12/17/2010 10:54,0.42,17404.0,Sweden
539338,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,12,12/17/2010 10:54,1.25,17404.0,Sweden
539338,22757,LARGE RED BABUSHKA NOTEBOOK ,12,12/17/2010 10:54,1.25,17404.0,Sweden
539338,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,12,12/17/2010 10:54,1.25,17404.0,Sweden
539338,22820,GIFT BAG BIRTHDAY,192,12/17/2010 10:54,0.65,17404.0,Sweden
539338,22348,TEA BAG PLATE RED RETROSPOT,288,12/17/2010 10:54,0.85,17404.0,Sweden
539338,85178,VICTORIAN SEWING KIT,144,12/17/2010 10:54,1.25,17404.0,Sweden
539338,22651,GENTLEMAN SHIRT REPAIR KIT ,144,12/17/2010 10:54,0.85,17404.0,Sweden
539338,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,12/17/2010 10:54,4.95,17404.0,Sweden
539338,22721,SET OF 3 CAKE TINS SKETCHBOOK,3,12/17/2010 10:54,4.95,17404.0,Sweden
539338,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,12/17/2010 10:54,2.95,17404.0,Sweden
539338,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,12/17/2010 10:54,2.95,17404.0,Sweden
539338,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,12/17/2010 10:54,4.95,17404.0,Sweden
539338,22915,ASSORTED BOTTLE TOP  MAGNETS ,120,12/17/2010 10:54,0.42,17404.0,Sweden
540040,22264,FELT FARM ANIMAL WHITE BUNNY ,48,1/4/2011 14:20,0.19,12483.0,Sweden
540040,85169C,EAU DE NIL LOVE BIRD CANDLE,24,1/4/2011 14:20,0.42,12483.0,Sweden
540040,85169A,IVORY LOVE BIRD CANDLE,24,1/4/2011 14:20,0.42,12483.0,Sweden
540040,85169B,BLACK LOVE BIRD CANDLE,24,1/4/2011 14:20,0.42,12483.0,Sweden
540040,22271,FELTCRAFT DOLL ROSIE,12,1/4/2011 14:20,2.95,12483.0,Sweden
540040,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,12,1/4/2011 14:20,3.75,12483.0,Sweden
540040,21731,RED TOADSTOOL LED NIGHT LIGHT,48,1/4/2011 14:20,1.65,12483.0,Sweden
540040,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,1/4/2011 14:20,1.95,12483.0,Sweden
540040,22378,WALL TIDY RETROSPOT ,20,1/4/2011 14:20,0.85,12483.0,Sweden
540040,22467,GUMBALL COAT RACK,36,1/4/2011 14:20,2.1,12483.0,Sweden
