InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
550644,22722,SET OF 6 SPICE TINS PANTRY DESIGN,7,4/19/2011 16:19,3.95,12733.0,USA
550644,22979,PANTRY WASHING UP BRUSH,2,4/19/2011 16:19,1.45,12733.0,USA
550644,84987,SET OF 36 TEATIME PAPER DOILIES,3,4/19/2011 16:19,1.45,12733.0,USA
550644,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,4/19/2011 16:19,4.95,12733.0,USA
550644,22993,SET OF 4 PANTRY JELLY MOULDS,1,4/19/2011 16:19,1.25,12733.0,USA
550644,47580,TEA TIME DES TEA COSY,3,4/19/2011 16:19,2.55,12733.0,USA
550644,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,4/19/2011 16:19,3.25,12733.0,USA
550644,22900, SET 2 TEA TOWELS I LOVE LONDON ,3,4/19/2011 16:19,3.25,12733.0,USA
550644,22128,PARTY CONES CANDY ASSORTED,12,4/19/2011 16:19,1.25,12733.0,USA
550644,47590B,PINK HAPPY BIRTHDAY BUNTING,4,4/19/2011 16:19,5.45,12733.0,USA
550644,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2,4/19/2011 16:19,2.1,12733.0,USA
550644,22088,PAPER BUNTING COLOURED LACE,6,4/19/2011 16:19,2.95,12733.0,USA
550644,22990,COTTON APRON PANTRY DESIGN,5,4/19/2011 16:19,4.95,12733.0,USA
550644,22129,PARTY CONES CANDY TREE DECORATION,36,4/19/2011 16:19,0.85,12733.0,USA
550644,21067,VINTAGE RED TEATIME MUG,6,4/19/2011 16:19,1.25,12733.0,USA
550644,22149,FELTCRAFT 6 FLOWER FRIENDS,6,4/19/2011 16:19,2.1,12733.0,USA
550644,22147,FELTCRAFT BUTTERFLY HEARTS,7,4/19/2011 16:19,1.45,12733.0,USA
550644,22301,COFFEE MUG CAT + BIRD DESIGN,6,4/19/2011 16:19,2.55,12733.0,USA
550644,22970,LONDON BUS COFFEE MUG,6,4/19/2011 16:19,2.55,12733.0,USA
550644,22423,REGENCY CAKESTAND 3 TIER,6,4/19/2011 16:19,12.75,12733.0,USA
550644,37501,TEA TIME TEA SET IN GIFT BOX,5,4/19/2011 16:19,6.95,12733.0,USA
550644,37500,TEA TIME TEAPOT IN GIFT BOX,4,4/19/2011 16:19,4.95,12733.0,USA
570467,22551,PLASTERS IN TIN SPACEBOY,12,10/10/2011 16:06,1.65,12607.0,USA
570467,21915,RED  HARMONICA IN BOX ,12,10/10/2011 16:06,1.25,12607.0,USA
570467,22619,SET OF 6 SOLDIER SKITTLES,4,10/10/2011 16:06,3.75,12607.0,USA
570467,22138,BAKING SET 9 PIECE RETROSPOT ,3,10/10/2011 16:06,4.95,12607.0,USA
570467,21524,DOORMAT SPOTTY HOME SWEET HOME,2,10/10/2011 16:06,8.25,12607.0,USA
570467,21668,RED STRIPE CERAMIC DRAWER KNOB,12,10/10/2011 16:06,1.45,12607.0,USA
570467,21671,RED SPOT CERAMIC DRAWER KNOB,12,10/10/2011 16:06,1.45,12607.0,USA
570467,21669,BLUE STRIPE CERAMIC DRAWER KNOB,12,10/10/2011 16:06,1.45,12607.0,USA
570467,22090,PAPER BUNTING RETROSPOT,6,10/10/2011 16:06,2.95,12607.0,USA
570467,22668,PINK BABY BUNTING,5,10/10/2011 16:06,2.95,12607.0,USA
570467,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,10/10/2011 16:06,5.45,12607.0,USA
570467,47590B,PINK HAPPY BIRTHDAY BUNTING,3,10/10/2011 16:06,5.45,12607.0,USA
570467,22974,CHILDRENS DOLLY GIRL MUG,12,10/10/2011 16:06,1.65,12607.0,USA
570467,22972,CHILDREN'S SPACEBOY MUG,12,10/10/2011 16:06,1.65,12607.0,USA
570467,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,10/10/2011 16:06,2.95,12607.0,USA
570467,21231,SWEETHEART CERAMIC TRINKET BOX,12,10/10/2011 16:06,1.25,12607.0,USA
570467,21232,STRAWBERRY CERAMIC TRINKET BOX,12,10/10/2011 16:06,1.25,12607.0,USA
570467,22949,36 DOILIES DOLLY GIRL,12,10/10/2011 16:06,1.45,12607.0,USA
570467,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,10/10/2011 16:06,1.45,12607.0,USA
570467,84987,SET OF 36 TEATIME PAPER DOILIES,12,10/10/2011 16:06,1.45,12607.0,USA
570467,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,4,10/10/2011 16:06,3.75,12607.0,USA
570467,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,10/10/2011 16:06,1.49,12607.0,USA
570467,22649,STRAWBERRY FAIRY CAKE TEAPOT,8,10/10/2011 16:06,4.95,12607.0,USA
570467,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,10/10/2011 16:06,0.55,12607.0,USA
570467,21976,PACK OF 60 MUSHROOM CAKE CASES,24,10/10/2011 16:06,0.55,12607.0,USA
570467,22417,PACK OF 60 SPACEBOY CAKE CASES,24,10/10/2011 16:06,0.55,12607.0,USA
570467,21212,PACK OF 72 RETROSPOT CAKE CASES,24,10/10/2011 16:06,0.55,12607.0,USA
570467,22938,CUPCAKE LACE PAPER SET 6,12,10/10/2011 16:06,1.95,12607.0,USA
570467,84991,60 TEATIME FAIRY CAKE CASES,24,10/10/2011 16:06,0.55,12607.0,USA
570467,22199,FRYING PAN RED RETROSPOT,4,10/10/2011 16:06,4.25,12607.0,USA
570467,22848,BREAD BIN DINER STYLE PINK,1,10/10/2011 16:06,16.95,12607.0,USA
570467,22204,MILK PAN BLUE POLKADOT,4,10/10/2011 16:06,3.75,12607.0,USA
570467,22360,GLASS JAR ENGLISH CONFECTIONERY,6,10/10/2011 16:06,2.95,12607.0,USA
570467,47559B,TEA TIME OVEN GLOVE,10,10/10/2011 16:06,1.25,12607.0,USA
570467,22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,10/10/2011 16:06,1.25,12607.0,USA
570467,22922,FRIDGE MAGNETS US DINER ASSORTED,12,10/10/2011 16:06,0.85,12607.0,USA
570467,23156,SET OF 5 MINI GROCERY MAGNETS,12,10/10/2011 16:06,2.08,12607.0,USA
570467,23159,SET OF 5 PANCAKE DAY MAGNETS,12,10/10/2011 16:06,2.08,12607.0,USA
570467,22027,TEA PARTY BIRTHDAY CARD,12,10/10/2011 16:06,0.42,12607.0,USA
570467,22029,SPACEBOY BIRTHDAY CARD,12,10/10/2011 16:06,0.42,12607.0,USA
570467,22983,CARD BILLBOARD FONT,12,10/10/2011 16:06,0.42,12607.0,USA
570467,22712,CARD DOLLY GIRL ,12,10/10/2011 16:06,0.42,12607.0,USA
570467,16161P,WRAP ENGLISH ROSE ,25,10/10/2011 16:06,0.42,12607.0,USA
570467,21498,RED RETROSPOT WRAP ,25,10/10/2011 16:06,0.42,12607.0,USA
570467,21499,BLUE POLKADOT WRAP,25,10/10/2011 16:06,0.42,12607.0,USA
570467,22046,TEA PARTY  WRAPPING PAPER ,25,10/10/2011 16:06,0.42,12607.0,USA
570467,22048,BIRTHDAY BANQUET GIFT WRAP,25,10/10/2011 16:06,0.42,12607.0,USA
570467,22050,PINK PAISLEY ROSE GIFT WRAP,25,10/10/2011 16:06,0.42,12607.0,USA
570467,22708,WRAP DOLLY GIRL,25,10/10/2011 16:06,0.42,12607.0,USA
570467,22706,WRAP COWBOYS  ,25,10/10/2011 16:06,0.42,12607.0,USA
570467,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,10/10/2011 16:06,1.25,12607.0,USA
570467,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,10/10/2011 16:06,1.25,12607.0,USA
570467,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,10/10/2011 16:06,1.45,12607.0,USA
570467,23166,MEDIUM CERAMIC TOP STORAGE JAR,12,10/10/2011 16:06,1.25,12607.0,USA
570467,23165,LARGE CERAMIC TOP STORAGE JAR,12,10/10/2011 16:06,1.65,12607.0,USA
570467,23167,SMALL CERAMIC TOP STORAGE JAR ,12,10/10/2011 16:06,0.83,12607.0,USA
570467,48185,DOORMAT FAIRY CAKE,2,10/10/2011 16:06,8.25,12607.0,USA
570467,23372,SET 36 COLOUR PENCILS DOLLY GIRL,16,10/10/2011 16:06,1.25,12607.0,USA
570467,23367,SET 12 COLOUR PENCILS SPACEBOY ,16,10/10/2011 16:06,0.65,12607.0,USA
