InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
543911,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2/14/2011 12:46,4.95,17829.0,United Arab Emirates
543911,48138,DOORMAT UNION FLAG,2,2/14/2011 12:46,7.95,17829.0,United Arab Emirates
543911,85150,LADIES & GENTLEMEN METAL SIGN,24,2/14/2011 12:46,2.55,17829.0,United Arab Emirates
543911,82552,WASHROOM METAL SIGN,24,2/14/2011 12:46,1.45,17829.0,United Arab Emirates
543911,82551,LAUNDRY 15C METAL SIGN,12,2/14/2011 12:46,1.45,17829.0,United Arab Emirates
543911,82583,HOT BATHS METAL SIGN,12,2/14/2011 12:46,2.1,17829.0,United Arab Emirates
543911,22413,METAL SIGN TAKE IT OR LEAVE IT ,12,2/14/2011 12:46,2.95,17829.0,United Arab Emirates
543911,21166,COOK WITH WINE METAL SIGN ,12,2/14/2011 12:46,2.08,17829.0,United Arab Emirates
543911,21175,GIN + TONIC DIET METAL SIGN,12,2/14/2011 12:46,2.55,17829.0,United Arab Emirates
543911,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2/14/2011 12:46,2.1,17829.0,United Arab Emirates
543911,21908,CHOCOLATE THIS WAY METAL SIGN,12,2/14/2011 12:46,2.1,17829.0,United Arab Emirates
543911,21165,BEWARE OF THE CAT METAL SIGN ,12,2/14/2011 12:46,1.69,17829.0,United Arab Emirates
543911,20961,STRAWBERRY BATH SPONGE ,20,2/14/2011 12:46,1.25,17829.0,United Arab Emirates
543911,22195,LARGE HEART MEASURING SPOONS,12,2/14/2011 12:46,1.65,17829.0,United Arab Emirates
543911,22200,FRYING PAN PINK POLKADOT,6,2/14/2011 12:46,4.25,17829.0,United Arab Emirates
543911,22207,FRYING PAN UNION FLAG,6,2/14/2011 12:46,4.25,17829.0,United Arab Emirates
543911,85215,ASSORTED CHEESE FRIDGE MAGNETS,72,2/14/2011 12:46,0.65,17829.0,United Arab Emirates
543911,21700,BIG DOUGHNUT FRIDGE MAGNETS,72,2/14/2011 12:46,0.85,17829.0,United Arab Emirates
543911,84050,PINK HEART SHAPE EGG FRYING PAN,12,2/14/2011 12:46,1.65,17829.0,United Arab Emirates
543911,21231,SWEETHEART CERAMIC TRINKET BOX,24,2/14/2011 12:46,1.25,17829.0,United Arab Emirates
543911,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2/14/2011 12:46,1.25,17829.0,United Arab Emirates
543911,22111,SCOTTIE DOG HOT WATER BOTTLE,6,2/14/2011 12:46,4.95,17829.0,United Arab Emirates
543911,21832,CHOCOLATE CALCULATOR,12,2/14/2011 12:46,1.65,17829.0,United Arab Emirates
543911,20985,HEART CALCULATOR,12,2/14/2011 12:46,1.25,17829.0,United Arab Emirates
543911,22112,CHOCOLATE HOT WATER BOTTLE,6,2/14/2011 12:46,4.95,17829.0,United Arab Emirates
543911,47590B,PINK HAPPY BIRTHDAY BUNTING,12,2/14/2011 12:46,5.45,17829.0,United Arab Emirates
543911,22117,METAL SIGN HER DINNER IS SERVED ,12,2/14/2011 12:46,2.95,17829.0,United Arab Emirates
543911,82567,"AIRLINE LOUNGE,METAL SIGN",12,2/14/2011 12:46,2.1,17829.0,United Arab Emirates
543911,21910,WAY OUT METAL SIGN ,12,2/14/2011 12:46,1.65,17829.0,United Arab Emirates
543911,21911,GARDEN METAL SIGN ,12,2/14/2011 12:46,1.65,17829.0,United Arab Emirates
565218,23245,SET OF 3 REGENCY CAKE TINS,4,9/1/2011 17:45,4.95,12739.0,United Arab Emirates
565218,22629,SPACEBOY LUNCH BOX ,12,9/1/2011 17:45,1.95,12739.0,United Arab Emirates
565218,22630,DOLLY GIRL LUNCH BOX,12,9/1/2011 17:45,1.95,12739.0,United Arab Emirates
565218,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,9/1/2011 17:45,0.83,12739.0,United Arab Emirates
565218,23294,SET OF 6 SNACK LOAF BAKING CASES,8,9/1/2011 17:45,0.83,12739.0,United Arab Emirates
565218,23296,SET OF 6 TEA TIME BAKING CASES,8,9/1/2011 17:45,1.25,12739.0,United Arab Emirates
565218,22955,36 FOIL STAR CAKE CASES ,6,9/1/2011 17:45,2.1,12739.0,United Arab Emirates
565218,22027,TEA PARTY BIRTHDAY CARD,12,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,22028,PENNY FARTHING BIRTHDAY CARD,12,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,22037,ROBOT BIRTHDAY CARD,12,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,22582,PACK OF 6 SWEETIE GIFT BOXES,6,9/1/2011 17:45,2.55,12739.0,United Arab Emirates
565218,23231,WRAP  VINTAGE DOILY ,25,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,23546,WRAP PAISLEY PARK ,25,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,23318,BOX OF 6 MINI VINTAGE CRACKERS,6,9/1/2011 17:45,2.49,12739.0,United Arab Emirates
565218,23319,BOX OF 6 MINI 50'S CRACKERS,6,9/1/2011 17:45,2.49,12739.0,United Arab Emirates
565218,23320,GIANT 50'S CHRISTMAS CRACKER,12,9/1/2011 17:45,2.89,12739.0,United Arab Emirates
565218,22492,MINI PAINT SET VINTAGE ,36,9/1/2011 17:45,0.65,12739.0,United Arab Emirates
565218,22962,JAM JAR WITH PINK LID,12,9/1/2011 17:45,0.85,12739.0,United Arab Emirates
565218,22963,JAM JAR WITH GREEN LID,24,9/1/2011 17:45,0.85,12739.0,United Arab Emirates
565218,22076,6 RIBBONS EMPIRE  ,12,9/1/2011 17:45,1.65,12739.0,United Arab Emirates
565218,22077,6 RIBBONS RUSTIC CHARM,12,9/1/2011 17:45,1.65,12739.0,United Arab Emirates
565218,21984,PACK OF 12 PINK PAISLEY TISSUES ,24,9/1/2011 17:45,0.29,12739.0,United Arab Emirates
565218,22092,BLUE PAISLEY TISSUE BOX,36,9/1/2011 17:45,0.39,12739.0,United Arab Emirates
565218,23238,SET OF 4 KNICK KNACK TINS LONDON ,6,9/1/2011 17:45,4.15,12739.0,United Arab Emirates
565218,23240,SET OF 4 KNICK KNACK TINS DOILY ,6,9/1/2011 17:45,4.15,12739.0,United Arab Emirates
565218,22557,PLASTERS IN TIN VINTAGE PAISLEY ,12,9/1/2011 17:45,1.65,12739.0,United Arab Emirates
565218,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,9/1/2011 17:45,1.65,12739.0,United Arab Emirates
565218,22139,RETROSPOT TEA SET CERAMIC 11 PC ,12,9/1/2011 17:45,4.95,12739.0,United Arab Emirates
565218,20984,12 PENCILS TALL TUBE POSY,12,9/1/2011 17:45,0.29,12739.0,United Arab Emirates
565218,22418,10 COLOUR SPACEBOY PEN,24,9/1/2011 17:45,0.85,12739.0,United Arab Emirates
565218,22507,MEMO BOARD RETROSPOT  DESIGN,4,9/1/2011 17:45,4.95,12739.0,United Arab Emirates
565218,22045,SPACEBOY GIFT WRAP,25,9/1/2011 17:45,0.42,12739.0,United Arab Emirates
565218,23007, SPACEBOY BABY GIFT SET,6,9/1/2011 17:45,14.95,12739.0,United Arab Emirates
565218,23009,I LOVE LONDON BABY GIFT SET,6,9/1/2011 17:45,14.95,12739.0,United Arab Emirates
565218,23008,DOLLY GIRL BABY GIFT SET,6,9/1/2011 17:45,14.95,12739.0,United Arab Emirates
565218,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,9/1/2011 17:45,1.45,12739.0,United Arab Emirates
565218,22423,REGENCY CAKESTAND 3 TIER,12,9/1/2011 17:45,12.75,12739.0,United Arab Emirates
567824,POST,POSTAGE,1,9/22/2011 13:00,37.5,12739.0,United Arab Emirates
