InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
549687,20685,DOORMAT RED RETROSPOT,2,4/11/2011 13:29,7.95,12363.0,Unspecified
549687,22691,DOORMAT WELCOME SUNRISE,2,4/11/2011 13:29,7.95,12363.0,Unspecified
549687,48116,DOORMAT MULTICOLOUR STRIPE,2,4/11/2011 13:29,7.95,12363.0,Unspecified
549687,21213,PACK OF 72 SKULL CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,21976,PACK OF 60 MUSHROOM CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,21212,PACK OF 72 RETROSPOT CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,84992,72 SWEETHEART FAIRY CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,84991,60 TEATIME FAIRY CAKE CASES,24,4/11/2011 13:29,0.55,12363.0,Unspecified
549687,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,4/11/2011 13:29,1.45,12363.0,Unspecified
549687,21973,SET OF 36 MUSHROOM PAPER DOILIES,12,4/11/2011 13:29,1.45,12363.0,Unspecified
549687,21211,SET OF 72 SKULL PAPER  DOILIES,12,4/11/2011 13:29,1.45,12363.0,Unspecified
549687,21124,SET/10 BLUE POLKADOT PARTY CANDLES,24,4/11/2011 13:29,1.25,12363.0,Unspecified
549687,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,4/11/2011 13:29,1.25,12363.0,Unspecified
549687,21123,SET/10 IVORY POLKADOT PARTY CANDLES,24,4/11/2011 13:29,1.25,12363.0,Unspecified
549687,21121,SET/10 RED POLKADOT PARTY CANDLES,24,4/11/2011 13:29,1.25,12363.0,Unspecified
552695,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,24,5/10/2011 15:31,1.25,16320.0,Unspecified
552695,23078,ICE CREAM PEN LIP GLOSS ,24,5/10/2011 15:31,1.25,16320.0,Unspecified
552695,22619,SET OF 6 SOLDIER SKITTLES,4,5/10/2011 15:31,3.75,16320.0,Unspecified
552695,21888,BINGO SET,8,5/10/2011 15:31,3.75,16320.0,Unspecified
552695,21890,S/6 WOODEN SKITTLES IN COTTON BAG,6,5/10/2011 15:31,3.25,16320.0,Unspecified
552695,22620,4 TRADITIONAL SPINNING TOPS,12,5/10/2011 15:31,1.45,16320.0,Unspecified
552695,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,5/10/2011 15:31,1.45,16320.0,Unspecified
552695,21705,BAG 500g SWIRLY MARBLES,12,5/10/2011 15:31,1.65,16320.0,Unspecified
552695,21704,BAG 250g SWIRLY MARBLES,12,5/10/2011 15:31,0.85,16320.0,Unspecified
552695,21703,BAG 125g SWIRLY MARBLES,12,5/10/2011 15:31,0.42,16320.0,Unspecified
552695,22621,TRADITIONAL KNITTING NANCY,12,5/10/2011 15:31,1.65,16320.0,Unspecified
552695,22150,3 STRIPEY MICE FELTCRAFT,6,5/10/2011 15:31,1.95,16320.0,Unspecified
552695,23127,FELTCRAFT GIRL NICOLE KIT,4,5/10/2011 15:31,4.95,16320.0,Unspecified
552695,23126,FELTCRAFT GIRL AMELIE KIT,4,5/10/2011 15:31,4.95,16320.0,Unspecified
552695,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,5/10/2011 15:31,1.25,16320.0,Unspecified
552695,22149,FELTCRAFT 6 FLOWER FRIENDS,12,5/10/2011 15:31,2.1,16320.0,Unspecified
552695,22752,SET 7 BABUSHKA NESTING BOXES,4,5/10/2011 15:31,8.5,16320.0,Unspecified
552695,22758,LARGE PURPLE BABUSHKA NOTEBOOK  ,12,5/10/2011 15:31,1.25,16320.0,Unspecified
552695,22754,SMALL RED BABUSHKA NOTEBOOK ,12,5/10/2011 15:31,0.85,16320.0,Unspecified
552695,22584,PACK OF 6 PANNETONE GIFT BOXES,12,5/10/2011 15:31,2.55,16320.0,Unspecified
552695,22585,PACK OF 6 BIRDY GIFT TAGS,12,5/10/2011 15:31,1.25,16320.0,Unspecified
552695,22815,CARD PSYCHEDELIC APPLES,12,5/10/2011 15:31,0.42,16320.0,Unspecified
552695,16161U,WRAP SUKI AND FRIENDS,25,5/10/2011 15:31,0.42,16320.0,Unspecified
552695,22707,WRAP MONSTER FUN ,25,5/10/2011 15:31,0.42,16320.0,Unspecified
552695,22711,WRAP CIRCUS PARADE,25,5/10/2011 15:31,0.42,16320.0,Unspecified
